LC,OWNER,Delivery Date,Fuel's Type,Qty Fuel,Jalur,BBM IDR
251230A015,FBI,1/1/2026,Solar,20.44,Bekasi,139000
251230A009,FBI,1/1/2026,Pertalite,8.75,Jakarta Selatan,87500
260101X007,AHI,1/1/2026,Solar,28.49,Tangerang,193732
260101D037,AHI,1/1/2026,Solar,19.21,Jakarta Utara,130628
260101D029,AHI,1/1/2026,Solar,2.68,Bekasi,18224
260101D025,AHI,1/1/2026,Solar,12.91,Jakarta Selatan,87788
260101H023,AHI,1/1/2026,Solar,7.63,Bekasi,51884
251230A010,FBI,1/1/2026,Solar,20.88,Jakarta Selatan,142000
260101D014,AHI,1/1/2026,Solar,20.69,Jakarta Utara,140692
251230A013,FBI,1/1/2026,Solar,17.06,Depok,116000
260101H018,AHI,1/1/2026,Solar,16.17,Tangerang,109956
260101D001,AHI,1/1/2026,Solar,10.24,Bekasi,69632
251230A005,FBI,1/1/2026,Solar,16.18,Jakarta Barat,110000
251231D082,AHI,1/1/2026,Solar,17.69,Tangerang,120292
260101D034,AHI,1/1/2026,Solar,6.02,Bekasi,40936
260101H014,AHI,1/1/2026,Solar,17.32,Tangerang,117776
260101H022,AHI,1/1/2026,Solar,13.12,Jakarta Timur,89216
260101D032,AHI,1/1/2026,Solar,8.51,Karawang,57868
260101D020,AHI,1/1/2026,Solar,20.48,Jakarta Barat,139264
260101D035,AHI,1/1/2026,Solar,11.35,Jakarta Utara,77180
260101H021,AHI,1/1/2026,Solar,12.67,Jakarta Pusat,86156
251231A002,AHI,1/1/2026,Solar,23.88,Tangerang,162384
260101D019,AHI,1/1/2026,Solar,16.12,Jakarta Barat,109616
260101D028,AHI,1/1/2026,Solar,13.58,Depok,92344
260101D026,AHI,1/1/2026,Solar,13.66,Depok,92888
251230A008,FBI,1/1/2026,Solar,10.29,Jakarta Timur,70000
260101D031,AHI,1/1/2026,Solar,16.72,Bogor,113696
260101D011,AHI,1/1/2026,Solar,22.39,Bogor,152252
260101H020,AHI,1/1/2026,Solar,18.93,Jakarta Selatan,128724
260101D015,AHI,1/1/2026,Solar,11.38,Bekasi,77384
260101H019,AHI,1/1/2026,Solar,13.59,Depok,92412
260101D036,AHI,1/1/2026,Solar,13.9,Jakarta Timur,94520
260101D052,AHI,1/1/2026,Solar,13.14,Tangerang,89500
251230A011,FBI,1/1/2026,Solar,15.87,Jakarta Selatan,108000
251230A016,FBI,1/1/2026,Solar,9.56,Bekasi,65000
251230A006,FBI,1/1/2026,Solar,9.01,Jakarta Pusat,61268
260101X033,AHI,1/1/2026,Solar,15.84,Tangerang,107712
260101D021,AHI,1/1/2026,Solar,14.36,Jakarta Barat,97648
260101D018,AHI,1/1/2026,Solar,13.14,Jakarta Pusat,89352
260101D024,AHI,1/1/2026,Solar,23.22,Tangerang,157896
260101H016,AHI,1/1/2026,Solar,11.71,Jakarta Utara,79628
260101D002,AHI,1/1/2026,Solar,10.25,Bekasi,69700
260101H017,AHI,1/1/2026,Solar,19.73,Bogor,134164
260101D022,AHI,1/1/2026,Solar,17.81,Jakarta Barat,121108
251230L032,AHI,1/1/2026,Solar,68.24,Tasikmalaya,112500
251230A014,FBI,1/1/2026,Solar,16.91,Tangerang,115000
260101D030,AHI,1/1/2026,Solar,17.59,Depok,119612
260101D077,AHI,1/1/2026,Solar,24.32,Tangerang,165376
251230X028,AHI,1/1/2026,,,Bekasi,0
251231X021,AHI,1/1/2026,Solar,31.71,Bekasi,215628
251230A017,FBI,1/1/2026,Solar,13.82,Jakarta Selatan,94000
260101X030,AHI,1/1/2026,Solar,10.37,Bekasi,70516
260101D023,AHI,1/1/2026,Solar,31.75,Tangerang,215900
260101H015,AHI,1/1/2026,Solar,21.36,Jakarta Barat,145248
260101C060,AHI,1/1/2026,Solar,22.53,Bekasi,153204
260101C058,AHI,1/1/2026,Solar,27.15,Purwakarta,184620
260102D007,AHI,1/2/2026,Pertalite,7.44,Jakarta Timur,74400
260102X044,AHI,1/2/2026,Solar,20.74,Tangerang,141000
260102H017,AHI,1/2/2026,Solar,15.33,Jakarta Selatan,104244
260103D018,AHI,1/2/2026,Solar,16.11,Jakarta Selatan,109548
260102X028,AHI,1/2/2026,Solar,24.34,Jakarta Utara,165512
260102D004,AHI,1/2/2026,Solar,16.35,Depok,111180
260102D016,AHI,1/2/2026,Solar,25.35,Jakarta Barat,172380
260102D013,AHI,1/2/2026,Solar,11.32,Bekasi,76976
260102D025,AHI,1/2/2026,Solar,11.87,Jakarta Timur,80716
260102X052,AHI,1/2/2026,Solar,14.17,Tangerang,96356
260102H019,AHI,1/2/2026,Solar,18.2,Bogor,123760
260102X027,AHI,1/2/2026,Solar,34.98,Sumedang,237864
260102H021,AHI,1/2/2026,Solar,16.62,Jakarta Timur,113000
260102X043,AHI,1/2/2026,Solar,23.96,Tangerang,162928
251201X050,AHI,1/2/2026,Solar,16.39,Tangerang,111452
251231A003,TGI,1/2/2026,Solar,15.59,Jakarta Pusat,106000
260102D003,AHI,1/2/2026,Solar,21.05,Jakarta Utara,143140
260101L021,AHI,1/2/2026,Solar,39.8,Bandung,65500
260102D005,AHI,1/2/2026,Solar,16.56,Depok,112608
260102H015,AHI,1/2/2026,Solar,14.57,Tangerang,99076
260103D011,AHI,1/2/2026,Solar,25.12,Jakarta Utara,170816
