LC,OWNER,Delivery Date,Fuel's Type,Qty Fuel,Jalur,BBM IDR
260101H039,HCI,01/01/2026,Solar,80.22,Cirebon,132000
260101C063,HCI,01/01/2026,Solar,53.4,Bogor,363120
260101C120,HCI,01/01/2026,Solar,25.03,Depok,170204
260101D061,HCI,01/01/2026,Solar,30.99,Cilegon,210732
260101H058,HCI,01/01/2026,Solar,27.21,Bandung,45000
260101D080,HCI,01/01/2026,Solar,23.13,Tangerang,157284
260101O001,HCI,01/01/2026,Solar,72.42,Tangerang,492456
260101D065,HCI,01/01/2026,Solar,21.82,Tangerang,148376
260101C094,HCI,01/01/2026,Solar,19.81,Jakarta Barat,134708
260101O002,HCI,01/01/2026,Solar,23.65,Tangerang,160820
260101X036,HCI,01/01/2026,Solar,103.51,Bekasi,703868
260101C069,HCI,01/01/2026,Solar,26.18,Jakarta Barat,178024
260101D063,HCI,01/01/2026,Solar,23.16,Bogor,157488
260101D082,HCI,01/01/2026,Solar,11.14,Jakarta Selatan,75752
260101C099,HCI,01/01/2026,Solar,23.62,Purwakarta,160616
260101C093,HCI,01/01/2026,Pertalite,18.53,Karawang,185300
260101C076,HCI,01/01/2026,Solar,22.53,Jakarta Selatan,153204
260101H038,HCI,01/01/2026,Solar,42.14,Tangerang,286552
260101D076,HCI,01/01/2026,Solar,19.37,Tangerang,131716
260101H071,HCI,01/01/2026,Solar,17.65,Tangerang,120020
260101H046,HCI,01/01/2026,Solar,28.86,Tangerang,196248
260101C070,HCI,01/01/2026,Solar,21.66,Jakarta Barat,147288
260101D066,HCI,01/01/2026,Solar,19.9,Tangerang,135320
260101C083,HCI,01/01/2026,Solar,22.1,Bogor,150416
260101C087,HCI,01/01/2026,Solar,11.09,Bekasi,75412
260101C073,HCI,01/01/2026,Solar,19.27,Jakarta Selatan,131036
260101C075,HCI,01/01/2026,Solar,17.58,Jakarta Selatan,119544
260101D081,HCI,01/01/2026,Solar,18.65,Karawang,126820
260101C089,HCI,01/01/2026,Solar,20.77,Bekasi,141236
260101C064,HCI,01/01/2026,Solar,20.21,Jakarta Selatan,137428
260101C061,HCI,01/01/2026,Solar,17,Tangerang,115600
260101C134,HCI,01/01/2026,Solar,19.6,Jakarta Pusat,133280
260101D059,HCI,01/01/2026,Solar,17.55,Jakarta Utara,119340
260101C074,HCI,01/01/2026,Solar,18.74,Jakarta Selatan,127432
260101C062,HCI,01/01/2026,Solar,13.51,Jakarta Barat,91868
260101C071,HCI,01/01/2026,Solar,15.06,Jakarta Barat,102408
260101C079,HCI,01/01/2026,Solar,22.07,Jakarta Timur,150076
260101C082,HCI,01/01/2026,Solar,18.67,Jakarta Timur,126956
260101D069,HCI,01/01/2026,Solar,15.55,Depok,105740
260101C100,HCI,01/01/2026,Solar,38.7,Karawang,131580
260101C078,HCI,01/01/2026,Solar,21.09,Jakarta Pusat,143412
260101C145,HCI,01/01/2026,Pertalite,11.5,Bogor,115400
260101H028,HCI,01/01/2026,Solar,28.0,Bogor,190196
260101H024,HCI,01/01/2026,Solar,34.2,Bogor,232356
260101H026,HCI,01/01/2026,Solar,25.9,Bogor,175916
260101C072,HCI,01/01/2026,Solar,12.29,Jakarta Selatan,83572
260101D060,HCI,01/01/2026,Solar,14.97,Jakarta Barat,101796
260101D075,HCI,01/01/2026,Solar,14.81,Jakarta Selatan,100708
260101C081,HCI,01/01/2026,Solar,16.96,Jakarta Timur,115328
260101C088,HCI,01/01/2026,Solar,19.18,Bekasi,130424
