LC,OWNER,Delivery Date,Fuel's Type,Qty Fuel,Jalur,BBM IDR
260101S097,AHI,1/1/2026,Pertalite,7.8,JAKARTA TIMUR,78000
260101S091,AHI,1/1/2026,Pertalite,11.1,JAKARTA TIMUR,111000
260101S025,AHI,1/1/2026,Pertalite,7,JAKARTA UTARA,70000
260101S092,AHI,1/1/2026,Pertalite,8.75,DEPOK,87500
260101S088,AHI,1/1/2026,Solar,18.53,TANGERANG,126000
260101S087,AHI,1/1/2026,Solar,32.35,JAKARTA TIMUR,220000
260102S127,AHI,1/2/2026,Pertalite,12.6,TANGERANG SELATAN,126000
260102S132,AHI,1/2/2026,,,JAKARTA BARAT,0
260102S131,AHI,1/2/2026,Pertalite,7.7,JAKARTA SELATAN,77000
260102S130,AHI,1/2/2026,Pertalite,13.5,JAKARTA UTARA,135000
260102S137,AHI,1/2/2026,,,JAKARTA SELATAN,0
260102S135,AHI,1/2/2026,,,TANGERANG,0
260103S109,AHI,1/3/2026,Pertalite,11.8,BOGOR,117500
260103S106,AHI,1/3/2026,Pertalite,16,JAKARTA BARAT,160000
260103S107,AHI,1/3/2026,Pertalite,12.05,DEPOK,120500
260103S112,AHI,1/3/2026,Pertalite,7.8,JAKARTA SELATAN,78000
260103S114,AHI,1/3/2026,Solar,20.96,DEPOK,142500
260103S104,AHI,1/3/2026,,,DEPOK,0
260104S111,AHI,1/4/2026,Pertalite,8.7,JAKARTA PUSAT,87000
260104S117,AHI,1/4/2026,Pertalite,10,TANGERANG,100000
260104S114,AHI,1/4/2026,Pertalite,17,BEKASI,170000
260104S113,AHI,1/4/2026,Pertalite,13.8,BEKASI,137500
260104S118,AHI,1/4/2026,,,DEPOK,0
260105S103,AHI,1/5/2026,Pertalite,9.8,-,98000
260105S105,AHI,1/5/2026,Pertalite,14.5,-,145000
260105S118,AHI,1/5/2026,Pertalite,6.7,-,67000
260105S113,AHI,1/5/2026,Pertalite,9.95,-,99500
260105S108,AHI,1/5/2026,Solar,40.44,-,275000
260105S111,AHI,1/5/2026,,,-,0
260106S130,AHI,1/6/2026,Pertalite,11.1,JAKARTA UTARA,111000
260106S138,AHI,1/6/2026,Pertalite,10,DEPOK,100000
260106S134,AHI,1/6/2026,Pertalite,11.2,JAKARTA SELATAN,112000
260106S133,AHI,1/6/2026,Pertalite,7.7,JAKARTA BARAT,77000
260106S117,AHI,1/6/2026,Solar,17.65,JAKARTA SELATAN,120000
260106S114,AHI,1/6/2026,Solar,60,BEKASI,408000
260107S105,AHI,1/7/2026,Pertalite,12.5,JAKARTA PUSAT,125000
260107S096,AHI,1/7/2026,Pertalite,12.6,JAKARTA BARAT,126000
260107S094,AHI,1/7/2026,Pertalite,10.7,TANGERANG SELATAN,107000
260107S125,AHI,1/7/2026,Pertalite,15,TANGERANG,150000
260107S091,AHI,1/7/2026,Solar,18.38,BEKASI,125000
260107S097,AHI,1/7/2026,Solar,16.47,JAKARTA SELATAN,112000
260108S078,AHI,1/8/2026,Pertalite,11.49,JAKARTA BARAT,115000
260108S079,AHI,1/8/2026,Pertalite,12.2,DEPOK,122000
260108S076,AHI,1/8/2026,Pertalite,9.2,JAKARTA SELATAN,92000
260108S080,AHI,1/8/2026,Pertalite,8.8,JAKARTA UTARA,88000
260108S075,AHI,1/8/2026,Solar,19.56,JAKARTA SELATAN,133000
260108S077,AHI,1/8/2026,Solar,22.06,JAKARTA SELATAN,150000
260109S109,AHI,1/9/2026,Pertalite,15.5,JAKARTA PUSAT,155000
260109S112,AHI,1/9/2026,Pertalite,10.5,DEPOK,105000
260109S113,AHI,1/9/2026,,,TANGERANG SELATAN,0
