LC,OWNER,Delivery Date,Fuel's Type,Qty Fuel,Jalur,BBM IDR
260101S003,AHI,1/1/2026 12:00:00 AM,Pertalite,10,Denpasar,100000
260101S002,AHI,1/1/2026 12:00:00 AM,Pertalite,10.95,Badung,109000
260102S019,AHI,1/2/2026 12:00:00 AM,Pertalite,12,Badung,120000
260102S021,AHI,1/2/2026 12:00:00 AM,Pertalite,10,TB Dalam kota,100000
260102S003,AHI,1/2/2026 12:00:00 AM,Pertalite,13.8,Badung,138000
260103S001,AHI,1/3/2026 12:00:00 AM,Pertalite,13,Badung,130000
260103S031,AHI,1/3/2026 12:00:00 AM,Pertalite,15,Badung,150000
260103S002,AHI,1/3/2026 12:00:00 AM,Pertalite,9.3,Badung,93000
260104S002,AHI,1/4/2026 12:00:00 AM,Pertalite,10,Badung,100000
260104S029,AHI,1/4/2026 12:00:00 AM,Pertalite,15,TB Dalam kota,150000
260104S001,AHI,1/4/2026 12:00:00 AM,Pertalite,8.4,Badung,84000
260105S002,AHI,1/5/2026 12:00:00 AM,Pertalite,10,Tabanan,100000
260105S029,AHI,1/5/2026 12:00:00 AM,Pertalite,7.8,TB Dalam kota,78000
260105S003,AHI,1/5/2026 12:00:00 AM,Pertalite,9.8,Badung,97000
260106S005,AHI,1/6/2026 12:00:00 AM,Pertalite,10,Badung,100000
260106S036,AHI,1/6/2026 12:00:00 AM,Pertalite,9.5,TB Dalam kota,95000
260106S002,AHI,1/6/2026 12:00:00 AM,Pertalite,14,Badung,140000
260107S003,AHI,1/7/2026 12:00:00 AM,Pertalite,10,Badung,100000
260107S027,AHI,1/7/2026 12:00:00 AM,Pertalite,4.1,TB Dalam kota,41000
260107S002,AHI,1/7/2026 12:00:00 AM,Pertalite,15,Badung,150000
260108S003,AHI,1/8/2026 12:00:00 AM,Pertalite,10,Denpasar,100000
260108S048,AHI,1/8/2026 12:00:00 AM,Solar,16.18,TB Dalam kota,110000
260108S041,AHI,1/8/2026 12:00:00 AM,Pertalite,11.05,Tabanan,110000
260108S002,AHI,1/8/2026 12:00:00 AM,Pertalite,12.7,Badung,127000
260109S002,AHI,1/9/2026 12:00:00 AM,Pertalite,10,Badung,100000
260109S010,AHI,1/9/2026 12:00:00 AM,Solar,13.97,TB Dalam kota,95000
260109S004,AHI,1/9/2026 12:00:00 AM,Pertalite,10,Badung,100000
260109S030,AHI,1/9/2026 12:00:00 AM,Pertalite,14.9,Tabanan,149000
260110S031,AHI,1/10/2026 12:00:00 AM,Pertalite,7,Badung,70000
260110S009,AHI,1/10/2026 12:00:00 AM,Solar,8.82,TB Dalam kota,60000
260110S008,AHI,1/10/2026 12:00:00 AM,Pertalite,10,Tabanan,100000
260110S005,AHI,1/10/2026 12:00:00 AM,Pertalite,9.4,Badung,94000
260111S003,AHI,1/11/2026 12:00:00 AM,Pertalite,5,Denpasar,50000
260111S001,AHI,1/11/2026 12:00:00 AM,Solar,11.76,TB Dalam kota,80000
260111S002,AHI,1/11/2026 12:00:00 AM,Pertalite,9.7,Badung,97000
260111S006,AHI,1/11/2026 12:00:00 AM,Pertalite,7.7,Tabanan,77000
260112S008,AHI,1/12/2026 12:00:00 AM,Solar,4.41,TB Dalam kota,30000
