LC,OWNER,Delivery Date,Fuel's Type,Qty Fuel,Jalur,BBM IDR
260101S142,AHI,1/1/2026,Pertalite,9.6,JAKARTA UTARA,96000
260101S146,AHI,1/1/2026,Pertalite,13.2,BEKASI,132000
260101S144,AHI,1/1/2026,Solar,13.82,JAKARTA BARAT,94000
260101S143,AHI,1/1/2026,Solar,35.66,TANGERANG,242500
260101S147,AHI,1/1/2026,Pertalite,18,JAKARTA TIMUR,180000
260102S111,AHI,1/2/2026,Pertalite,11.2,JAKARTA UTARA,112000
260102S115,AHI,1/2/2026,Pertalite,10,JAKARTA UTARA,100000
260102S112,AHI,1/2/2026,Solar,10.29,JAKARTA UTARA,70000
260102S114,AHI,1/2/2026,Solar,5.88,JAKARTA TIMUR,38500
260102S113,AHI,1/2/2026,Solar,11.03,JAKARTA BARAT,75000
260102S116,AHI,1/2/2026,Pertalite,9.3,JAKARTA TIMUR,93000
260102S117,AHI,1/2/2026,Pertalite,9.3,JAKARTA BARAT,93000
260103S153,AHI,1/3/2026,Pertalite,13.8,DEPOK,138000
260103S162,AHI,1/3/2026,Pertalite,7,JAKARTA SELATAN,70000
260103S160,AHI,1/3/2026,Solar,13.97,JAKARTA BARAT,95000
260103S159,AHI,1/3/2026,Solar,11.32,BEKASI,77000
260103S161,AHI,1/3/2026,Solar,8.97,JAKARTA PUSAT,61000
260103S163,AHI,1/3/2026,Pertalite,9.5,JAKARTA UTARA,95000
260104S101,AHI,1/4/2026,Pertalite,7.2,JAKARTA UTARA,72000
260104S105,AHI,1/4/2026,Pertalite,8,JAKARTA TIMUR,80000
260104S103,AHI,1/4/2026,Solar,8.82,JAKARTA TIMUR,60000
260104S102,AHI,1/4/2026,Solar,19.12,TANGERANG,130000
260104S104,AHI,1/4/2026,Solar,7.3,JAKARTA PUSAT,49500
260104S106,AHI,1/4/2026,Pertalite,8.95,JAKARTA PUSAT,89500
260105S088,AHI,1/5/2026,Pertalite,10.2,JAKARTA UTARA,102000
260105S091,AHI,1/5/2026,Pertalite,7.8,JAKARTA UTARA,78000
260105S089,AHI,1/5/2026,Solar,25.29,TANGERANG,172000
260105S090,AHI,1/5/2026,Solar,15.44,JAKARTA TIMUR,105000
260105S093,AHI,1/5/2026,Solar,20.59,BEKASI,140000
260105S199,AHI,1/5/2026,Solar,7.94,JAKARTA SELATAN,54000
260105S092,AHI,1/5/2026,Pertalite,10.25,JAKARTA SELATAN,102500
260106S103,AHI,1/6/2026,Pertalite,10.3,JAKARTA UTARA,103000
260106S106,AHI,1/6/2026,Pertalite,12.6,JAKARTA UTARA,126000
260106X004,AHI,1/6/2026,Solar,10,-,68000
260106S104,AHI,1/6/2026,Solar,20.59,JAKARTA UTARA,140000
260106S105,AHI,1/6/2026,Solar,12.79,JAKARTA TIMUR,87000
260106S108,AHI,1/6/2026,Solar,12.5,DEPOK,85000
260106S107,AHI,1/6/2026,Pertalite,11.4,JAKARTA BARAT,114000
260107S098,AHI,1/7/2026,Pertalite,10,JAKARTA UTARA,100000
260107S102,AHI,1/7/2026,Pertalite,16.2,JAKARTA SELATAN,162000
260107S099,AHI,1/7/2026,Solar,8.09,BEKASI,55000
260107S100,AHI,1/7/2026,Solar,15,JAKARTA TIMUR,102000
260107S133,AHI,1/7/2026,Solar,10.59,JAKARTA BARAT,72000
260107S103,AHI,1/7/2026,Pertalite,8,-,79500
260109S028,AHI,1/8/2026,Pertalite,19,DEPOK,190000
260108S145,AHI,1/8/2026,Pertalite,10.1,JAKARTA BARAT,101000
260108S135,AHI,1/8/2026,Solar,8.53,JAKARTA UTARA,58000
260108S153,AHI,1/8/2026,Solar,9.56,BEKASI,65000
260108S134,AHI,1/8/2026,Solar,13.97,JAKARTA SELATAN,95000
260108S144,AHI,1/8/2026,Solar,17.65,JAKARTA UTARA,120000
260108S146,AHI,1/8/2026,Pertalite,8.5,JAKARTA UTARA,85000
260109S127,AHI,1/9/2026,Pertalite,11.5,JAKARTA UTARA,115000
260109S136,AHI,1/9/2026,Pertalite,9.3,JAKARTA TIMUR,93000
260109X010,AHI,1/9/2026,Solar,10.59,BEKASI,72000
260109S213,AHI,1/9/2026,Solar,9.12,BEKASI,62000
260109S128,AHI,1/9/2026,Solar,12.5,JAKARTA UTARA,85000
260109S130,AHI,1/9/2026,Solar,13.97,-,95000
260109S140,AHI,1/9/2026,Pertalite,13,JAKARTA UTARA,130000
260110S144,AHI,1/10/2026,Pertalite,11,JAKARTA UTARA,110000
260110S155,AHI,1/10/2026,Pertalite,22,JAKARTA TIMUR,220000
260110S152,AHI,1/10/2026,Solar,5.88,JAKARTA UTARA,40000
