LC,OWNER,Delivery Date,Fuel's Type,Qty Fuel,Jalur,BBM IDR
260101S038,AHI,1/1/2026 12:00:00 AM,Pertalite,2.3,-,23000
260102S047,AHI,1/2/2026 12:00:00 AM,Pertalite,9,-,90000
260102S046,AHI,1/2/2026 12:00:00 AM,Pertalite,7.92,-,79200
260102S048,AHI,1/2/2026 12:00:00 AM,Solar,11.76,-,80000
260103S040,AHI,1/3/2026 12:00:00 AM,Pertalite,5.81,-,58100
260103S039,AHI,1/3/2026 12:00:00 AM,Pertalite,5.6,-,56000
260103S041,AHI,1/3/2026 12:00:00 AM,Solar,11.76,-,80000
260105S009,AHI,1/5/2026 12:00:00 AM,Pertalite,8,-,80000
260105S008,AHI,1/5/2026 12:00:00 AM,Pertalite,6.7,-,67000
260105S010,AHI,1/5/2026 12:00:00 AM,Solar,13.24,-,90000
260106S046,AHI,1/6/2026 12:00:00 AM,Pertalite,5.01,-,50100
260106S045,AHI,1/6/2026 12:00:00 AM,Pertalite,6.3,-,63000
260106S047,AHI,1/6/2026 12:00:00 AM,Solar,10.74,-,73000
260107S049,AHI,1/7/2026 12:00:00 AM,Pertalite,5.01,-,50100
260107S048,AHI,1/7/2026 12:00:00 AM,Pertalite,3.1,-,31000
260107S050,AHI,1/7/2026 12:00:00 AM,Rechecked,4.71,-,35000
260108S046,AHI,1/8/2026 12:00:00 AM,Pertalite,3.7,-,37000
260108S045,AHI,1/8/2026 12:00:00 AM,Pertalite,4.4,-,44100
260108S047,AHI,1/8/2026 12:00:00 AM,Solar,10.29,-,70000
260109S050,AHI,1/9/2026 12:00:00 AM,Pertalite,6.3,-,63000
260109S049,AHI,1/9/2026 12:00:00 AM,Pertalite,6.1,-,61000
260109S051,AHI,1/9/2026 12:00:00 AM,Solar,6.62,-,45000
260110S051,AHI,1/10/2026 12:00:00 AM,Pertalite,7.5,-,75000
260110S050,AHI,1/10/2026 12:00:00 AM,Pertalite,6.39,-,63900
260110S052,AHI,1/10/2026 12:00:00 AM,Solar,10.29,-,70000
260112S046,AHI,1/12/2026 12:00:00 AM,Pertalite,5.8,-,58000
260112S045,AHI,1/12/2026 12:00:00 AM,Pertalite,11.1,-,111000
260112S047,AHI,1/12/2026 12:00:00 AM,Solar,15.46,-,105100
260113S023,AHI,1/13/2026 12:00:00 AM,Pertalite,4,-,40000
260113S022,AHI,1/13/2026 12:00:00 AM,Pertalite,7.7,-,77000
260113S024,AHI,1/13/2026 12:00:00 AM,Solar,6.03,-,41000
260114S035,AHI,1/14/2026 12:00:00 AM,Pertalite,3,-,30000
260114S034,AHI,1/14/2026 12:00:00 AM,Pertalite,3,-,30000
260114X001,AHI,1/14/2026 12:00:00 AM,Solar,9.56,-,65000
260115S034,AHI,1/15/2026 12:00:00 AM,Pertalite,7.5,-,75000
260115S033,AHI,1/15/2026 12:00:00 AM,Pertalite,4.4,-,44000
260115S035,AHI,1/15/2026 12:00:00 AM,Solar,10.44,-,71000
260116S028,AHI,1/16/2026 12:00:00 AM,Pertalite,5.1,-,51000
260116S029,AHI,1/16/2026 12:00:00 AM,Pertalite,3.09,-,30900
260116S030,AHI,1/16/2026 12:00:00 AM,Solar,16.15,-,109800
260117S035,AHI,1/17/2026 12:00:00 AM,Pertalite,6.5,-,65000
260117S034,AHI,1/17/2026 12:00:00 AM,Pertalite,6.71,-,67100
260117S036,AHI,1/17/2026 12:00:00 AM,Solar,8.99,-,61100
260119S006,AHI,1/19/2026 12:00:00 AM,Pertalite,7.9,-,79000
260119S005,AHI,1/19/2026 12:00:00 AM,Pertalite,6.29,-,62900
260119S007,AHI,1/19/2026 12:00:00 AM,Solar,13.24,-,90000
260120S048,AHI,1/20/2026 12:00:00 AM,Pertalite,7.4,-,74000
260120S047,AHI,1/20/2026 12:00:00 AM,Pertalite,7.89,-,78900
260120S049,AHI,1/20/2026 12:00:00 AM,Solar,11.03,-,75000
260121S018,AHI,1/21/2026 12:00:00 AM,Pertalite,14.4,-,144000
260121S017,AHI,1/21/2026 12:00:00 AM,Pertalite,8.81,-,88100
260121S019,AHI,1/21/2026 12:00:00 AM,Solar,13.4,-,91100
260122S021,AHI,1/22/2026 12:00:00 AM,Pertalite,5,-,50000
260122S019,AHI,1/22/2026 12:00:00 AM,Pertalite,3.41,-,34100
260122S029,AHI,1/22/2026 12:00:00 AM,Solar,8.24,-,56000
260123S028,AHI,1/23/2026 12:00:00 AM,Pertalite,3,-,30000
260123S027,AHI,1/23/2026 12:00:00 AM,Pertalite,2.2,-,22000
260123S029,AHI,1/23/2026 12:00:00 AM,Solar,8.09,-,55000
260124S024,AHI,1/24/2026 12:00:00 AM,Pertalite,10.9,-,109000
260124S023,AHI,1/24/2026 12:00:00 AM,Pertalite,3.84,-,38400
260124S025,AHI,1/24/2026 12:00:00 AM,Solar,8.09,-,55000
260126S018,AHI,1/26/2026 12:00:00 AM,Pertalite,8.6,-,86000
260126S017,AHI,1/26/2026 12:00:00 AM,Pertalite,6.09,-,60800
260126S019,AHI,1/26/2026 12:00:00 AM,Solar,12.5,-,85000
260127S024,AHI,1/27/2026 12:00:00 AM,Pertalite,6.1,-,61000
260127S023,AHI,1/27/2026 12:00:00 AM,Pertalite,6.37,-,63700
260127S025,AHI,1/27/2026 12:00:00 AM,Solar,11.02,-,74900
260128S032,AHI,1/28/2026 12:00:00 AM,Pertalite,8,-,80000
260128S031,AHI,1/28/2026 12:00:00 AM,Pertalite,4.7,-,47000
260128S033,AHI,1/28/2026 12:00:00 AM,Solar,11.76,-,80000
260129S021,AHI,1/29/2026 12:00:00 AM,Pertalite,5.3,-,53000
260129S020,AHI,1/29/2026 12:00:00 AM,Pertalite,4.69,-,46900
