LC,OWNER,Delivery Date,Fuel's Type,Qty Fuel,Jalur,BBM IDR
RDO Manual,HCI,16-Mar-2025,Rechecked,0,,0
RDO Manual,,3/14/2026,Rechecked,0,,0
RDO Manual,,3/15/2026,Rechecked,0,,0
RDO Manual,,3/16/2026,Rechecked,0,,0
RDO Manual,,3/17/2026,Solar,58.82,,400000
RDO Manual,,3/17/2026,Rechecked,0,,0
RDO Manual,,3/18/2026,Rechecked,0,,0
RDO Manual,,3/18/2026,Rechecked,0,,0
RDO Manual,,3/19/2026,Rechecked,0,,0
RDO Manual,,3/19/2026,Pertalite,34,,340000
RDO Manual,,3/20/2026,Rechecked,0,,0
RDO Manual,,3/21/2026,Solar,58.82,,400000
RDO Manual,,3/24/2026,Rechecked,0,,0
RDO Manual,,3/25/2026,Rechecked,0,,0
RDO Manual,,3/25/2026,Rechecked,0,,0
RDO Manual,,3/26/2026,Rechecked,0,,0
RDO Manual,,3/26/2026,Rechecked,0,,0
RDO Manual,,3/27/2026,Rechecked,0,,0
RDO Manual,,3/27/2026,Rechecked,0,,0
260328D091,,3/28/2026,Rechecked,0,Luar Kota,0
RDO Manual,,3/28/2026,Solar,44.11,,300000
RDO Manual,,3/28/2026,Rechecked,0,,0
RDO Manual,,3/29/2026,Pertalite,37.01,,370100
RDO Manual,,3/29/2026,Rechecked,0,dalam kota,0
RDO Manual,,3/29/2026,Rechecked,,,
RDO Manual,,3/30/2026,Rechecked,0,dalam kota,0
RDO Manual,,3/30/2026,Rechecked,,,
RDO Manual,,3/31/2026,Rechecked,0,dalam kota,0
RDO Manual,,3/31/2026,Rechecked,,,
RDO Manual,,4/1/2026,Pertalite,33,dalam kota,330000
RDO Manual,,4/1/2026,Rechecked,,,0
RDO Manual,,4/1/2026,Rechecked,,,0
RDO Manual,,4/2/2026,Rechecked,55.89,,380100
RDO Manual,,4/2/2026,Rechecked,,,0
RDO Manual,,4/3/2026,Rechecked,,,0
RDO Manual,,4/4/2026,Rechecked,,,0
RDO Manual,,4/5/2026,Pertalite,35.01,,350100
RDO Manual,,4/5/2026,Rechecked,,,0
RDO Manual,,4/6/2026,Rechecked,,,0
RDO Manual,,4/7/2026,Rechecked,,,0
RDO Manual,,4/7/2026,Rechecked,,,0
RDO Manual,,4/7/2026,Rechecked,,,0
RDO Manual,,4/8/2026,Pertalite,38,,380000
RDO Manual,,4/9/2026,Rechecked,,,0
RDO Manual,,4/9/2026,Rechecked,,,0
RDO Manual,,4/10/2026,Rechecked,,,0
RDO Manual,,4/10/2026,Rechecked,,,0
RDO Manual,,4/11/2026,Rechecked,,,0
RDO Manual,,4/11/2026,Rechecked,,,0
RDO Manual,,4/12/2026,Pertalite,38.71,,387100
RDO Manual,,4/12/2026,Rechecked,,,0
RDO Manual,,4/12/2026,Rechecked,,,0
RDO Manual,,4/13/2026,Solar,55.85,,380000
RDO Manual,,4/13/2026,Rechecked,,,0
RDO Manual,,4/13/2026,Rechecked,,,0
RDO Manual,,4/14/2026,Rechecked,,,0
RDO Manual,,4/14/2026,Rechecked,,,0
RDO Manual,,4/15/2026,Rechecked,,,0
RDO Manual,,4/15/2026,Rechecked,,,0
RDO Manual,,4/16/2026,Rechecked,,,0
RDO Manual,,4/16/2026,Rechecked,,,0
RDO Manual,,4/17/2026,Rechecked,,,0
RDO Manual,,4/17/2026,Rechecked,,,0
RDO Manual,,4/18/2026,Rechecked,,,0
RDO Manual,,4/18/2026,Rechecked,,,0
RDO Manual,,4/19/2026,Pertalite,34.01,,340100
RDO Manual,,4/19/2026,Rechecked,,,400000
RDO Manual,,5/4/2026,Rechecked,,,0
RDO Manual,,5/4/2026,Rechecked,,,0
RDO Manual,,6/10/2026,Rechecked,,,300000
RDO Manual,,6/11/2026,Rechecked,,,0
RDO Manual,,6/11/2026,Rechecked,,,0
RDO Manual,,6/12/2026,Rechecked,,,0
RDO Manual,,6/12/2026,Rechecked,,,0
RDO Manual,,6/13/2026,Rechecked,,,0
RDO Manual,,6/13/2026,Rechecked,,,0
RDO Manual,,6/14/2026,Rechecked,,,0
RDO Manual,,6/14/2026,Rechecked,,,0
RDO Manual,,6/15/2026,Rechecked,,,0
RDO Manual,,6/15/2026,Rechecked,,,0
RDO Manual,,6/16/2026,Rechecked,,,340000
RDO Manual,,6/17/2026,Rechecked,,,0
