LC,OWNER,Delivery Date,Fuel's Type,Qty Fuel,Jalur,BBM IDR
260101S020,HCI,1/1/2026 12:00:00 AM,Pertalite,9.7,Denpasar,97000
260101S019,HCI,1/1/2026 12:00:00 AM,Pertalite,11.03,Badung,110000
260101S024,HCI,1/1/2026 12:00:00 AM,Solar,24.26,Badung,165000
260101S017,HCI,1/1/2026 12:00:00 AM,Pertalite,20,Gianyar,200000
260101S018,HCI,1/1/2026 12:00:00 AM,Pertalite,12,Badung,120000
260101S021,HCI,1/1/2026 12:00:00 AM,Solar,16.91,Denpasar,115000
260101S037,HCI,1/1/2026 12:00:00 AM,Solar,22.06,Tabanan,150000
260102S042,HCI,1/2/2026 12:00:00 AM,Solar,23.53,Tabanan,160000
260102S026,HCI,1/2/2026 12:00:00 AM,Pertalite,10,Tabanan,100000
260102S031,HCI,1/2/2026 12:00:00 AM,Solar,26.47,Denpasar,180000
260102S028,HCI,1/2/2026 12:00:00 AM,Pertalite,16,Denpasar,160000
260102S027,HCI,1/2/2026 12:00:00 AM,Pertalite,8.5,Badung,85000
260102S030,HCI,1/2/2026 12:00:00 AM,Solar,20.59,Kalungkung,140000
260102S029,HCI,1/2/2026 12:00:00 AM,Solar,14.71,Badung,100000
260103S028,HCI,1/3/2026 12:00:00 AM,Solar,17.65,Denpasar,120000
260103S026,HCI,1/3/2026 12:00:00 AM,Pertalite,14.42,Badung,144000
260103S030,HCI,1/3/2026 12:00:00 AM,Rechecked,1,Badung,75000
260103S022,HCI,1/3/2026 12:00:00 AM,Pertalite,11,Denpasar,110000
260103S023,HCI,1/3/2026 12:00:00 AM,Pertalite,24.93,Kalungkung,249000
260103S027,HCI,1/3/2026 12:00:00 AM,Solar,17.65,Denpasar,120000
260103S029,HCI,1/3/2026 12:00:00 AM,Solar,29.41,Karangasem,200000
260104S040,HCI,1/4/2026 12:00:00 AM,Pertalite,27,Gianyar,270000
260104S024,HCI,1/4/2026 12:00:00 AM,Solar,11.03,Badung,75000
260104S003,HCI,1/4/2026 12:00:00 AM,Pertalite,11.32,Denpasar,113000
260104S023,HCI,1/4/2026 12:00:00 AM,Solar,23.53,Denpasar,160000
260104S025,HCI,1/4/2026 12:00:00 AM,Pertalite,13,Badung,130000
260104S026,HCI,1/4/2026 12:00:00 AM,Pertalite,13,Denpasar,130000
260104S028,HCI,1/4/2026 12:00:00 AM,Solar,38.24,Karangasem,260000
260104S027,HCI,1/4/2026 12:00:00 AM,Solar,10.29,Tabanan,70000
260105S036,HCI,1/5/2026 12:00:00 AM,Pertalite,10,Badung,100000
260105S046,HCI,1/5/2026 12:00:00 AM,Pertalite,5,Denpasar,50000
260105S024,HCI,1/5/2026 12:00:00 AM,Solar,11.03,Gianyar,75000
260105S034,HCI,1/5/2026 12:00:00 AM,Pertalite,12,Denpasar,120000
260105S033,HCI,1/5/2026 12:00:00 AM,Pertalite,12.5,Tabanan,125000
260105S028,HCI,1/5/2026 12:00:00 AM,Solar,11.76,Denpasar,80000
260105S031,HCI,1/5/2026 12:00:00 AM,Solar,28.68,Badung,195000
260106S030,HCI,1/6/2026 12:00:00 AM,Pertalite,11.5,Gianyar,115000
260106S031,HCI,1/6/2026 12:00:00 AM,Solar,19.12,Badung,130000
260106S028,HCI,1/6/2026 12:00:00 AM,Pertalite,11.8,Badung,118000
260106S041,HCI,1/6/2026 12:00:00 AM,Solar,19.12,Tabanan,130000
260106S033,HCI,1/6/2026 12:00:00 AM,Solar,36.03,Badung,245000
260106S027,HCI,1/6/2026 12:00:00 AM,Pertalite,12,Denpasar,120000
260106S029,HCI,1/6/2026 12:00:00 AM,Pertalite,12.5,Badung,125000
260106S034,HCI,1/6/2026 12:00:00 AM,Solar,22.06,Gianyar,150000
260106S032,HCI,1/6/2026 12:00:00 AM,Solar,16.18,Badung,110000
260107S032,HCI,1/7/2026 12:00:00 AM,Pertalite,15.5,Badung,155000
260107S040,HCI,1/7/2026 12:00:00 AM,Solar,5.88,Badung,40000
260107S037,HCI,1/7/2026 12:00:00 AM,Solar,13.97,Tabanan,95000
260107S029,HCI,1/7/2026 12:00:00 AM,Pertalite,16.5,Gianyar,165000
260107S031,HCI,1/7/2026 12:00:00 AM,Pertalite,13,Badung,130000
260107S033,HCI,1/7/2026 12:00:00 AM,Solar,13.97,Denpasar,95000
260107S038,HCI,1/7/2026 12:00:00 AM,Solar,13.24,Denpasar,90000
260107S028,HCI,1/7/2026 12:00:00 AM,Solar,10.3,Badung,70000
260108S026,HCI,1/8/2026 12:00:00 AM,Pertalite,18,Badung,180000
260108S028,HCI,1/8/2026 12:00:00 AM,Solar,33.82,Gianyar,230000
260108S025,HCI,1/8/2026 12:00:00 AM,Pertalite,14.8,Gianyar,148000
260108S027,HCI,1/8/2026 12:00:00 AM,Solar,27.21,Badung,185000
260108S024,HCI,1/8/2026 12:00:00 AM,Pertalite,20,Badung,200000
260108S030,HCI,1/8/2026 12:00:00 AM,Solar,21.32,Tabanan,145000
260108S033,HCI,1/8/2026 12:00:00 AM,Solar,14.71,Badung,100000
260109S042,HCI,1/9/2026 12:00:00 AM,Pertalite,10.8,Denpasar,108000
260109S037,HCI,1/9/2026 12:00:00 AM,Solar,31.62,Badung,215000
260109S036,HCI,1/9/2026 12:00:00 AM,Pertalite,9.8,Denpasar,98000
260109S041,HCI,1/9/2026 12:00:00 AM,Solar,16.18,Badung,110000
260109S039,HCI,1/9/2026 12:00:00 AM,Pertalite,18.9,Badung,189000
260109S046,HCI,1/9/2026 12:00:00 AM,Pertalite,12.5,Denpasar,125000
260109S040,HCI,1/9/2026 12:00:00 AM,Solar,23.53,Gianyar,160000
260109S044,HCI,1/9/2026 12:00:00 AM,Solar,13.24,Badung,90000
260110S054,HCI,1/10/2026 12:00:00 AM,,,-,
260110S055,HCI,1/10/2026 12:00:00 AM,,,-,
260110S056,HCI,1/10/2026 12:00:00 AM,,,-,
260110S039,HCI,1/10/2026 12:00:00 AM,Pertalite,8.5,Badung,85000
260110S041,HCI,1/10/2026 12:00:00 AM,Solar,11.76,Badung,80000
260110S038,HCI,1/10/2026 12:00:00 AM,Pertalite,12.5,Gianyar,125000
260110S049,HCI,1/10/2026 12:00:00 AM,Solar,11.76,Denpasar,80000
260110S037,HCI,1/10/2026 12:00:00 AM,Pertalite,10.3,Badung,102000
260110S040,HCI,1/10/2026 12:00:00 AM,Solar,27.21,Gianyar,185000
260110S042,HCI,1/10/2026 12:00:00 AM,Solar,15.44,Badung,105000
260110S004,HCI,1/10/2026 12:00:00 AM,Solar,18.38,Tabanan,125000
260111S037,HCI,1/11/2026 12:00:00 AM,Solar,14.71,Tabanan,100000
