LC,OWNER,Delivery Date,Fuel's Type,Qty Fuel,Jalur,BBM IDR
260101S042,HCI,1/1/2026,Solar,13.24,Depok,
260101S033,HCI,1/1/2026,Solar,28.82,Sukabumi,
260101S034,HCI,1/1/2026,Solar,27.94,Sukabumi,
260101S045,HCI,1/1/2026,Solar,9.71,Depok,
260101S040,HCI,1/1/2026,Solar,14.26,Bogor,
260101S036,HCI,1/1/2026,Solar,13.24,Depok,
260101S038,HCI,1/1/2026,Solar,11.76,Bogor,
260101S035,HCI,1/1/2026,Solar,20.71,Depok,
260101S154,HCI,1/1/2026,Solar,7.35,Bogor,
260101S157,HCI,1/1/2026,Solar,10,Bogor,
260101S158,HCI,1/1/2026,Solar,8.09,Bogor,
260101S156,HCI,1/1/2026,Pertalite,12.01,Depok,
260101S037,HCI,1/1/2026,Solar,12.5,Bogor,
260101S044,HCI,1/1/2026,Solar,8.07,Depok,
260101S041,HCI,1/1/2026,Solar,11.31,Bogor,
260101S159,HCI,1/1/2026,Solar,11.44,Bogor,
260101S046,HCI,1/1/2026,Solar,12.5,Depok,
260101S148,HCI,1/1/2026,Pertalite,28,Sukabumi,
260101S039,HCI,1/1/2026,Solar,19.29,Bogor,
260101S153,HCI,1/1/2026,Pertalite,7,Bogor,
260101S043,HCI,1/1/2026,Solar,12.79,Depok,
260102S209,HCI,1/2/2026,Pertalite,14.8,Depok,
260102S191,HCI,1/2/2026,Solar,19.12,Bogor,
260102S059,HCI,1/2/2026,Solar,37.35,Cianjur,
260102S073,HCI,1/2/2026,Solar,12.72,Bogor,
260102S058,HCI,1/2/2026,Solar,36.03,Sukabumi,
260102S170,HCI,1/2/2026,Solar,8.82,Depok,
260102S210,HCI,1/2/2026,Solar,8.8,Depok,
260102S071,HCI,1/2/2026,Solar,21.57,Bogor,
260102S190,HCI,1/2/2026,Pertalite,14.2,Depok,
260102S070,HCI,1/2/2026,Solar,16.18,Bogor,
260102S053,HCI,1/2/2026,Solar,35.29,Cianjur,
260102S204,HCI,1/2/2026,Solar,9.56,Bogor,
260102S064,HCI,1/2/2026,Solar,15.44,Depok,
260102S061,HCI,1/2/2026,Solar,16.17,Depok,
260102S068,HCI,1/2/2026,Solar,22.06,Bogor,
260102S062,HCI,1/2/2026,Solar,17.6,Depok,
260102S069,HCI,1/2/2026,Solar,11.76,Bogor,
260102S049,HCI,1/2/2026,Pertalite,14,Depok,
260102S065,HCI,1/2/2026,Solar,16.91,Bogor,
260102S168,HCI,1/2/2026,Solar,17.42,Depok,
260102S066,HCI,1/2/2026,Solar,16.91,Bogor,
260102S063,HCI,1/2/2026,Solar,11.87,Depok,
260102S055,HCI,1/2/2026,Solar,41.76,Cianjur,
260102S203,HCI,1/2/2026,Pertalite,6,Bogor,
260102S067,HCI,1/2/2026,Solar,27.95,Bogor,
260102S050,HCI,1/2/2026,Pertalite,13.7,Bogor,
260102S057,HCI,1/2/2026,Solar,30.85,Sukabumi,
260102S060,HCI,1/2/2026,Solar,13.24,Depok,
260102S208,HCI,1/2/2026,Solar,7.94,Bogor,
260103S198,HCI,1/3/2026,Solar,18.24,Depok,
260103S072,HCI,1/3/2026,Solar,11.32,Depok,
260103S119,HCI,1/3/2026,Solar,13.53,Bogor,
260103S210,HCI,1/3/2026,Solar,11.91,Depok,
260103S060,HCI,1/3/2026,Solar,40.29,Cianjur,
260103S063,HCI,1/3/2026,Solar,41.91,Cianjur,
260103S070,HCI,1/3/2026,Solar,26.29,Sukabumi,
260103S174,HCI,1/3/2026,Solar,14.71,Bogor,
260103S068,HCI,1/3/2026,Solar,16.18,Bogor,
260103S071,HCI,1/3/2026,Solar,14.71,Depok,
260103S167,HCI,1/3/2026,Solar,13.97,Depok,
260103S209,HCI,1/3/2026,Solar,18.97,Depok,
260103S073,HCI,1/3/2026,Solar,16.87,Depok,
260103S067,HCI,1/3/2026,Solar,12.5,Bogor,
260103S065,HCI,1/3/2026,Solar,20.59,Bogor,
260103S173,HCI,1/3/2026,Solar,16.9,Depok,
260103S069,HCI,1/3/2026,Solar,15.88,Bogor,
260103S074,HCI,1/3/2026,Solar,10.88,Depok,
260103S172,HCI,1/3/2026,Solar,22.06,Depok,
260103S168,HCI,1/3/2026,Pertalite,22.5,Depok,
260103S064,HCI,1/3/2026,Solar,37.79,Cianjur,
260103S171,HCI,1/3/2026,Pertalite,11.5,Bogor,
260103S062,HCI,1/3/2026,Solar,27.26,Sukabumi,
260103S061,HCI,1/3/2026,Solar,32.35,Sukabumi,
260103S211,HCI,1/3/2026,Solar,6.62,Bogor,
260104S064,HCI,1/4/2026,Solar,14.71,Depok,
260104S062,HCI,1/4/2026,Solar,14.71,Bogor,
260104S174,HCI,1/4/2026,Solar,14.71,Depok,
260104S169,HCI,1/4/2026,Solar,17.65,Bogor,
260104S035,HCI,1/4/2026,Solar,29.41,Cianjur,
260104S063,HCI,1/4/2026,Solar,24.42,Bogor,
260104S166,HCI,1/4/2026,Solar,25,Depok,
260104S065,HCI,1/4/2026,Solar,10.29,Depok,
260104S059,HCI,1/4/2026,Solar,18.9,Depok,
260104S060,HCI,1/4/2026,Solar,17.65,Bogor,
260104S202,HCI,1/4/2026,Pertalite,6,Depok,
260104S163,HCI,1/4/2026,Solar,22.35,Bogor,
260104S168,HCI,1/4/2026,Solar,18.94,Depok,
260104S061,HCI,1/4/2026,Solar,16.18,Bogor,
260104S037,HCI,1/4/2026,Solar,30.01,Cianjur,
260104S069,HCI,1/4/2026,Solar,26.49,Depok,
260104S055,HCI,1/4/2026,Pertalite,12,Depok,
260104S058,HCI,1/4/2026,Solar,32.79,Cianjur,
260104S161,HCI,1/4/2026,Pertalite,16.8,Bogor,
260104S039,HCI,1/4/2026,Solar,28.12,Sukabumi,
260104S057,HCI,1/4/2026,Solar,30.44,Sukabumi,
260105S054,HCI,1/5/2026,Solar,15.15,Depok,
260105S058,HCI,1/5/2026,Solar,11.91,Bogor,
260105S047,HCI,1/5/2026,Solar,22.06,Bogor,
260105S045,HCI,1/5/2026,Solar,19.12,Depok,
260105S049,HCI,1/5/2026,Solar,14.71,Bogor,
260105S055,HCI,1/5/2026,Solar,17.21,Depok,
260105S158,HCI,1/5/2026,Solar,30.15,Cianjur,
260105S043,HCI,1/5/2026,Solar,29.3,Sukabumi,
260105S048,HCI,1/5/2026,Solar,23.53,Bogor,
260105S201,HCI,1/5/2026,Solar,8.82,Bogor,
260105S059,HCI,1/5/2026,Solar,5.88,Depok,
260105S159,HCI,1/5/2026,Pertalite,39.12,Cianjur,
260105S056,HCI,1/5/2026,Solar,11.76,Bogor,
260105S057,HCI,1/5/2026,Solar,20.56,Bogor,
260105S041,HCI,1/5/2026,Solar,29.41,Cianjur,
260105S053,HCI,1/5/2026,Solar,13.78,Depok,
260105S051,HCI,1/5/2026,Solar,21.91,Depok,
260105S040,HCI,1/5/2026,Pertalite,15,Depok,
260105S052,HCI,1/5/2026,Solar,14.73,Depok,
260105S163,HCI,1/5/2026,Pertalite,24.81,Depok,
260105S042,HCI,1/5/2026,Solar,29.12,Cianjur,
260105S044,HCI,1/5/2026,Solar,34.81,Sukabumi,
260106S068,HCI,1/6/2026,Solar,20.59,Depok,
260106S077,HCI,1/6/2026,Solar,16.91,Bogor,
260106S062,HCI,1/6/2026,Solar,50,Cianjur,
260106S075,HCI,1/6/2026,Solar,11.78,Bogor,
260106S071,HCI,1/6/2026,Solar,10.74,Bogor,
260106S072,HCI,1/6/2026,Solar,15.39,Bogor,
260106S069,HCI,1/6/2026,Solar,11.03,Depok,
260106S177,HCI,1/6/2026,Solar,14.7,Depok,
260106S074,HCI,1/6/2026,Solar,19.41,Bogor,
260106S076,HCI,1/6/2026,Solar,17.5,Bogor,
260106S054,HCI,1/6/2026,Pertalite,22.22,Bogor,
