LC,OWNER,Delivery Date,Fuel's Type,Qty Fuel,Jalur,BBM IDR
260101S022,HCI,1/1/2026 12:00:00 AM,Solar,30.9,MADIUN,210120
260101S004,HCI,1/1/2026 12:00:00 AM,Solar,13.24,KEDIRI,90032
260101S039,HCI,1/1/2026 12:00:00 AM,Solar,8.83,NGANJUK,60044
260101S023,HCI,1/1/2026 12:00:00 AM,Pertalite,7.01,TULUNGAGUNG,70100
260102S017,HCI,1/2/2026 12:00:00 AM,Solar,19.17,TULUNGAGUNG,130360
260102S015,HCI,1/2/2026 12:00:00 AM,Solar,41.93,MADIUN,285120
260102S016,HCI,1/2/2026 12:00:00 AM,Solar,17.65,BLITAR,120020
260102S018,HCI,1/2/2026 12:00:00 AM,Pertalite,13.5,JOMBANG,135000
260103S017,HCI,1/3/2026 12:00:00 AM,Solar,14.71,NGANJUK,100028
260103S016,HCI,1/3/2026 12:00:00 AM,Solar,14.71,TULUNGAGUNG,100030
260103S015,HCI,1/3/2026 12:00:00 AM,Solar,27.93,MADIUN,189920
260103S018,HCI,1/3/2026 12:00:00 AM,Pertalite,14.4,BLITAR,144000
260104S015,HCI,1/4/2026 12:00:00 AM,Solar,35.01,MADIUN,238070
260104S017,HCI,1/4/2026 12:00:00 AM,Solar,16.21,BLITAR,110230
260104S038,HCI,1/4/2026 12:00:00 AM,Solar,14.71,TULUNGAGUNG,100030
260104S039,HCI,1/4/2026 12:00:00 AM,Pertalite,7.4,KEDIRI,74000
260105S022,HCI,1/5/2026 12:00:00 AM,Solar,19.88,JOMBANG,135180
260105S017,HCI,1/5/2026 12:00:00 AM,Solar,41.99,MADIUN,285530
260105S021,HCI,1/5/2026 12:00:00 AM,Solar,39.71,TRENGGALEK,270030
260105S020,HCI,1/5/2026 12:00:00 AM,Pertalite,16.41,BLITAR,164100
260106S020,HCI,1/6/2026 12:00:00 AM,Solar,18.09,BLITAR,123010
260106S021,HCI,1/6/2026 12:00:00 AM,Solar,12.5,TULUNGAGUNG,85000
260106S022,HCI,1/6/2026 12:00:00 AM,Solar,29.03,JOMBANG,197400
260106S004,HCI,1/6/2026 12:00:00 AM,Pertalite,18.31,MADIUN,183100
260107S012,HCI,1/7/2026 12:00:00 AM,Solar,35.31,MADIUN,240110
260107S047,HCI,1/7/2026 12:00:00 AM,Solar,32.38,MADIUN,220180
260107S015,HCI,1/7/2026 12:00:00 AM,Solar,7.36,KEDIRI,50050
260107S014,HCI,1/7/2026 12:00:00 AM,Pertalite,7.81,JOMBANG,78100
260108S012,HCI,1/8/2026 12:00:00 AM,Solar,11.77,BLITAR,80040
260108S050,HCI,1/8/2026 12:00:00 AM,Solar,26.49,MADIUN,180130
260108S010,HCI,1/8/2026 12:00:00 AM,Pertalite,13.3,JOMBANG,133000
260108S011,HCI,1/8/2026 12:00:00 AM,Solar,16.21,TULUNGAGUNG,110230
260109S012,HCI,1/9/2026 12:00:00 AM,Solar,20.62,JOMBANG,140220
260109S011,HCI,1/9/2026 12:00:00 AM,Solar,39.72,MADIUN,270100
260109S014,HCI,1/9/2026 12:00:00 AM,Pertalite,9,TULUNGAGUNG,90000
260109S013,HCI,1/9/2026 12:00:00 AM,Solar,14.71,BLITAR,100030
260110S036,HCI,1/10/2026 12:00:00 AM,Solar,20.59,BLITAR,140010
260110S035,HCI,1/10/2026 12:00:00 AM,Solar,27.21,JOMBANG,185030
260110S033,HCI,1/10/2026 12:00:00 AM,Pertalite,21.51,MADIUN,215100
260110S034,HCI,1/10/2026 12:00:00 AM,Solar,21.48,TRENGGALEK,146060
260111S023,HCI,1/11/2026 12:00:00 AM,Solar,27.81,MADIUN,189110
260111S022,HCI,1/11/2026 12:00:00 AM,Solar,4.46,TULUNGAGUNG,30330
260111S024,HCI,1/11/2026 12:00:00 AM,Pertalite,10.01,JOMBANG,100100
260111S025,HCI,1/11/2026 12:00:00 AM,Solar,11.04,BLITAR,75070
260112S039,HCI,1/12/2026 12:00:00 AM,Solar,22.81,JOMBANG,155110
260112S035,HCI,1/12/2026 12:00:00 AM,Solar,33.84,MADIUN,230110
260112S038,HCI,1/12/2026 12:00:00 AM,Pertalite,18.1,TULUNGAGUNG,181000
260112S040,HCI,1/12/2026 12:00:00 AM,Solar,17.66,BLITAR,120090
260113S006,HCI,1/13/2026 12:00:00 AM,Solar,19.86,BLITAR,135050
260113S018,HCI,1/13/2026 12:00:00 AM,Solar,26.49,MADIUN,180130
260113S020,HCI,1/13/2026 12:00:00 AM,Pertalite,13.01,JOMBANG,130100
260113S021,HCI,1/13/2026 12:00:00 AM,Solar,14.72,TULUNGAGUNG,100100
260114S027,HCI,1/14/2026 12:00:00 AM,Solar,27.21,MADIUN,185030
260114S029,HCI,1/14/2026 12:00:00 AM,Solar,29.44,MADIUN,200190
260114S024,HCI,1/14/2026 12:00:00 AM,Pertalite,11,BLITAR,110000
260114S025,HCI,1/14/2026 12:00:00 AM,Solar,16.18,JOMBANG,110020
260115S010,HCI,1/15/2026 12:00:00 AM,Solar,13.98,TULUNGAGUNG,95060
260115S011,HCI,1/15/2026 12:00:00 AM,Solar,17.68,JOMBANG,120220
260115S013,HCI,1/15/2026 12:00:00 AM,Pertalite,20.91,MADIUN,209100
260115S012,HCI,1/15/2026 12:00:00 AM,Solar,17.66,BLITAR,120090
260116S015,HCI,1/16/2026 12:00:00 AM,Solar,14.72,JOMBANG,100100
260116S013,HCI,1/16/2026 12:00:00 AM,Solar,26.25,MADIUN,178500
260116S011,HCI,1/16/2026 12:00:00 AM,Pertalite,10,TULUNGAGUNG,100000
260116S014,HCI,1/16/2026 12:00:00 AM,Solar,10.17,BLITAR,69160
260117S015,HCI,1/17/2026 12:00:00 AM,Solar,27.23,MADIUN,185160
260117S017,HCI,1/17/2026 12:00:00 AM,Solar,13.98,TULUNGAGUNG,95060
260117S016,HCI,1/17/2026 12:00:00 AM,Pertalite,10.52,BLITAR,105200
260117S018,HCI,1/17/2026 12:00:00 AM,Solar,10.32,KEDIRI,70176
260118S023,HCI,1/18/2026 12:00:00 AM,Solar,19.12,JOMBANG,130020
260118S025,HCI,1/18/2026 12:00:00 AM,Solar,29.42,MADIUN,200060
260118S026,HCI,1/18/2026 12:00:00 AM,Pertalite,11.2,TRENGGALEK,112000
