LC,OWNER,Delivery Date,Fuel's Type,Qty Fuel,Jalur,BBM IDR
260101S033,HCI,1/1/2026 12:00:00 AM,Solar,4.65,MALANG KOTA,31600
260101S032,HCI,1/1/2026 12:00:00 AM,Pertalite,2.89,MALANG SELATAN,28900
260101S029,HCI,1/1/2026 12:00:00 AM,Solar,6.77,MALANG TIMUR,46000
260101S031,HCI,1/1/2026 12:00:00 AM,Solar,3.53,MALANG UTARA,24000
260101S030,HCI,1/1/2026 12:00:00 AM,Solar,4.39,BATU,29900
260102S036,HCI,1/2/2026 12:00:00 AM,Pertalite,9.3,MALANG KOTA,93000
260102S033,HCI,1/2/2026 12:00:00 AM,Solar,13.76,MALANG TIMUR,93600
260102S035,HCI,1/2/2026 12:00:00 AM,Pertalite,6.3,MALANG KOTA,63000
260102S037,HCI,1/2/2026 12:00:00 AM,Solar,9.12,MALANG BARAT,62400
260102S034,HCI,1/2/2026 12:00:00 AM,Solar,10.3,MALANG UTARA,70000
260102S006,HCI,1/2/2026 12:00:00 AM,Solar,11.18,BATU,76000
260103S036,HCI,1/3/2026 12:00:00 AM,Solar,19.53,MALANG BARAT,132800
260103S038,HCI,1/3/2026 12:00:00 AM,Pertalite,6.9,BATU,69000
260103S035,HCI,1/3/2026 12:00:00 AM,Pertalite,2.1,MALANG KOTA,21000
260103S034,HCI,1/3/2026 12:00:00 AM,Solar,22.06,MALANG TIMUR,150000
260103S033,HCI,1/3/2026 12:00:00 AM,Solar,20.29,MALANG SELATAN,138000
260103S032,HCI,1/3/2026 12:00:00 AM,Solar,21.35,BATU,145200
260104S033,HCI,1/4/2026 12:00:00 AM,Solar,10.88,MALANG SELATAN,74000
260104S037,HCI,1/4/2026 12:00:00 AM,Pertalite,7.4,MALANG KOTA,74000
260104S035,HCI,1/4/2026 12:00:00 AM,Solar,18.37,MALANG UTARA,124900
260104S036,HCI,1/4/2026 12:00:00 AM,Solar,11.77,BATU,80000
260104S034,HCI,1/4/2026 12:00:00 AM,Solar,20.42,MALANG TIMUR,138900
260105S041,HCI,1/5/2026 12:00:00 AM,Solar,12.93,BATU,88000
260105S004,HCI,1/5/2026 12:00:00 AM,Pertalite,6.81,MALANG TIMUR,68100
260105S040,HCI,1/5/2026 12:00:00 AM,Pertalite,4.51,MALANG KOTA,45000
260105S039,HCI,1/5/2026 12:00:00 AM,Solar,8.82,MALANG SELATAN,60000
260105S038,HCI,1/5/2026 12:00:00 AM,Solar,14.55,MALANG UTARA,99000
260105S035,HCI,1/5/2026 12:00:00 AM,Solar,14.71,MALANG TIMUR,100000
260106S038,HCI,1/6/2026 12:00:00 AM,Solar,8.51,MALANG UTARA,57900
260106S039,HCI,1/6/2026 12:00:00 AM,Pertalite,5.51,MALANG KOTA,55100
260106S040,HCI,1/6/2026 12:00:00 AM,Pertalite,7.4,MALANG KOTA,74000
260106S019,HCI,1/6/2026 12:00:00 AM,Solar,16,MALANG BARAT,108800
260106S026,HCI,1/6/2026 12:00:00 AM,Solar,9.63,MALANG TIMUR,65500
260106S035,HCI,1/6/2026 12:00:00 AM,Solar,12.94,BATU,88000
260107S041,HCI,1/7/2026 12:00:00 AM,Solar,10.75,MALANG TIMUR,73100
260107S039,HCI,1/7/2026 12:00:00 AM,Pertalite,3.38,MALANG KOTA,33800
260107S043,HCI,1/7/2026 12:00:00 AM,Pertalite,6.94,-,69400
260107S035,HCI,1/7/2026 12:00:00 AM,Solar,6.45,MALANG UTARA,43900
260107S034,HCI,1/7/2026 12:00:00 AM,Solar,12.66,MALANG SELATAN,86100
260107S023,HCI,1/7/2026 12:00:00 AM,Solar,10.23,BATU,69600
260108S032,HCI,1/8/2026 12:00:00 AM,Solar,6.44,BATU,43800
260108S036,HCI,1/8/2026 12:00:00 AM,Pertalite,9.2,MALANG SELATAN,92000
260108S037,HCI,1/8/2026 12:00:00 AM,Pertalite,4.59,MALANG KOTA,45900
260108S029,HCI,1/8/2026 12:00:00 AM,Solar,14.71,MALANG UTARA,100000
260108S031,HCI,1/8/2026 12:00:00 AM,Solar,6.17,MALANG BARAT,42000
260108S034,HCI,1/8/2026 12:00:00 AM,Solar,15.83,MALANG TIMUR,107600
260109S033,HCI,1/9/2026 12:00:00 AM,Solar,6.17,MALANG SELATAN,42000
260109S034,HCI,1/9/2026 12:00:00 AM,Pertalite,13.15,MALANG KOTA,131500
260109S032,HCI,1/9/2026 12:00:00 AM,Solar,6.21,MALANG TIMUR,42200
260109S031,HCI,1/9/2026 12:00:00 AM,Solar,11.32,BATU,77000
260109S035,HCI,1/9/2026 12:00:00 AM,Solar,13.09,MALANG UTARA,89000
260110S048,HCI,1/10/2026 12:00:00 AM,Solar,16.12,MALANG UTARA,109600
260110S023,HCI,1/10/2026 12:00:00 AM,Pertalite,7.83,MALANG KOTA,78300
260110S007,HCI,1/10/2026 12:00:00 AM,Solar,15.14,MALANG BARAT,102950
260110S047,HCI,1/10/2026 12:00:00 AM,Solar,11.45,BATU,77900
260110S024,HCI,1/10/2026 12:00:00 AM,Solar,14.71,MALANG TIMUR,100000
260111S032,HCI,1/11/2026 12:00:00 AM,Solar,7.78,MALANG TIMUR,52900
260111S028,HCI,1/11/2026 12:00:00 AM,Pertalite,7.28,MALANG KOTA,72800
260111S030,HCI,1/11/2026 12:00:00 AM,Solar,14.56,BATU,99000
260111S031,HCI,1/11/2026 12:00:00 AM,Solar,3.97,MALANG UTARA,27000
260111S029,HCI,1/11/2026 12:00:00 AM,Solar,5.87,MALANG SELATAN,39900
260112S042,HCI,1/12/2026 12:00:00 AM,Solar,9.08,MALANG UTARA,61800
260112S017,HCI,1/12/2026 12:00:00 AM,Pertalite,7.33,MALANG SELATAN,73300
260112S044,HCI,1/12/2026 12:00:00 AM,Solar,11.76,-,80000
260112S043,HCI,1/12/2026 12:00:00 AM,Solar,14.26,MALANG TIMUR,97000
260112S041,HCI,1/12/2026 12:00:00 AM,Solar,7.32,MALANG UTARA,49800
260113S042,HCI,1/13/2026 12:00:00 AM,Solar,9.77,MALANG TIMUR,66400
260113S043,HCI,1/13/2026 12:00:00 AM,Pertalite,5.69,MALANG KOTA,56900
260113S044,HCI,1/13/2026 12:00:00 AM,Pertalite,6.7,MALANG KOTA,67000
260113S037,HCI,1/13/2026 12:00:00 AM,Solar,18.38,BATU,125000
260113S040,HCI,1/13/2026 12:00:00 AM,Solar,13.76,MALANG BARAT,93600
260113S038,HCI,1/13/2026 12:00:00 AM,Solar,8.24,MALANG UTARA,56000
260114S039,HCI,1/14/2026 12:00:00 AM,Solar,3.08,MALANG SELATAN,21000
260114S041,HCI,1/14/2026 12:00:00 AM,Pertalite,3.71,MALANG KOTA,37100
260114S037,HCI,1/14/2026 12:00:00 AM,Solar,10.59,MALANG UTARA,72000
260114S038,HCI,1/14/2026 12:00:00 AM,Solar,8.04,BATU,54700
260114S040,HCI,1/14/2026 12:00:00 AM,Solar,3.5,MALANG TIMUR,23800
260115S030,HCI,1/15/2026 12:00:00 AM,Solar,8.46,MALANG UTARA,57500
260115S024,HCI,1/15/2026 12:00:00 AM,Pertalite,5.1,MALANG UTARA,51000
260115S032,HCI,1/15/2026 12:00:00 AM,Solar,9.97,MALANG TIMUR,67800
260115S023,HCI,1/15/2026 12:00:00 AM,Solar,9.85,BATU,67000
260115S026,HCI,1/15/2026 12:00:00 AM,Solar,11.01,MALANG SELATAN,74868
260116S035,HCI,1/16/2026 12:00:00 AM,Solar,6.53,MALANG TIMUR,44400
260116S037,HCI,1/16/2026 12:00:00 AM,Pertalite,4.87,MALANG KOTA,48700
260116S038,HCI,1/16/2026 12:00:00 AM,Pertalite,3,MALANG UTARA,30000
260116S039,HCI,1/16/2026 12:00:00 AM,Solar,12.93,MALANG SELATAN,87900
260116S036,HCI,1/16/2026 12:00:00 AM,Solar,10.15,MALANG UTARA,69000
260116S040,HCI,1/16/2026 12:00:00 AM,Solar,10.28,BATU,69900
260117S025,HCI,1/17/2026 12:00:00 AM,Solar,6.33,MALANG BARAT,43000
260117S026,HCI,1/17/2026 12:00:00 AM,Pertalite,9,BATU,90000
260117S022,HCI,1/17/2026 12:00:00 AM,Solar,8.26,BATU,56200
260117S029,HCI,1/17/2026 12:00:00 AM,Solar,8.82,MALANG TIMUR,60000
260117S028,HCI,1/17/2026 12:00:00 AM,Solar,6.32,MALANG UTARA,43000
260118S030,HCI,1/18/2026 12:00:00 AM,Solar,13.38,-,91000
260118S028,HCI,1/18/2026 12:00:00 AM,Pertalite,6.19,MALANG KOTA,61900
260118S029,HCI,1/18/2026 12:00:00 AM,Pertalite,5.4,MALANG KOTA,54000
260118S027,HCI,1/18/2026 12:00:00 AM,Solar,14.42,MALANG TIMUR,98100
260118S031,HCI,1/18/2026 12:00:00 AM,Solar,12.21,MALANG BARAT,82800
260118S032,HCI,1/18/2026 12:00:00 AM,Solar,13.22,MALANG UTARA,89900
260119S041,HCI,1/19/2026 12:00:00 AM,Solar,12.89,MALANG SELATAN,87700
260119S040,HCI,1/19/2026 12:00:00 AM,Pertalite,5,MALANG KOTA,50000
260119S038,HCI,1/19/2026 12:00:00 AM,Solar,8.06,MALANG UTARA,54800
260119S037,HCI,1/19/2026 12:00:00 AM,Solar,12.51,BATU,85100
260119S039,HCI,1/19/2026 12:00:00 AM,Solar,11.76,MALANG TIMUR,80000
260120S044,HCI,1/20/2026 12:00:00 AM,Solar,9.24,BATU,62800
260120S045,HCI,1/20/2026 12:00:00 AM,Pertalite,5.5,MALANG KOTA,55000
260120S050,HCI,1/20/2026 12:00:00 AM,Pertalite,5.24,MALANG UTARA,52400
260120S002,HCI,1/20/2026 12:00:00 AM,Solar,12.34,MALANG TIMUR,83900
260120S041,HCI,1/20/2026 12:00:00 AM,Solar,8.24,MALANG UTARA,56000
260120S005,HCI,1/20/2026 12:00:00 AM,Solar,12.5,MALANG SELATAN,85000
260121S038,HCI,1/21/2026 12:00:00 AM,Solar,3.64,MALANG TIMUR,24700
260121S032,HCI,1/21/2026 12:00:00 AM,Pertalite,2.27,MALANG KOTA,22700
260121S033,HCI,1/21/2026 12:00:00 AM,Pertalite,3.48,MALANG UTARA,34800
260121S037,HCI,1/21/2026 12:00:00 AM,Solar,8.19,MALANG SELATAN,55700
260121S035,HCI,1/21/2026 12:00:00 AM,Solar,10.97,BATU,74600
260121S043,HCI,1/21/2026 12:00:00 AM,Solar,2.04,MALANG KOTA,13900
260122S020,HCI,1/22/2026 12:00:00 AM,Solar,6.16,MALANG BARAT,41900
260122S035,HCI,1/22/2026 12:00:00 AM,Pertalite,6.87,MALANG KOTA,68700
260122S022,HCI,1/22/2026 12:00:00 AM,Solar,9.31,MALANG UTARA,63300
260122S028,HCI,1/22/2026 12:00:00 AM,Solar,8.09,BATU,55000
260122S034,HCI,1/22/2026 12:00:00 AM,Solar,2.03,MALANG TIMUR,13800
260123S036,HCI,1/23/2026 12:00:00 AM,Solar,10.15,BATU,69000
260123S038,HCI,1/23/2026 12:00:00 AM,Pertalite,7.1,MALANG KOTA,71000
260123S039,HCI,1/23/2026 12:00:00 AM,Solar,40.29,MALANG SELATAN,274000
260123S037,HCI,1/23/2026 12:00:00 AM,Solar,7.35,MALANG UTARA,49800
260123S035,HCI,1/23/2026 12:00:00 AM,Solar,7.35,MALANG KOTA,50000
260124S040,HCI,1/24/2026 12:00:00 AM,Solar,5.12,MALANG UTARA,34800
260124S042,HCI,1/24/2026 12:00:00 AM,Pertalite,6.68,MALANG KOTA,66800
260124S043,HCI,1/24/2026 12:00:00 AM,Solar,6.88,MALANG BARAT,46800
260124S018,HCI,1/24/2026 12:00:00 AM,Solar,3.53,MALANG TIMUR,24000
260124S041,HCI,1/24/2026 12:00:00 AM,Solar,10,BATU,68000
260125S040,HCI,1/25/2026 12:00:00 AM,Solar,8.51,MALANG SELATAN,57900
260125S035,HCI,1/25/2026 12:00:00 AM,Pertalite,5.5,BATU,55000
260125S036,HCI,1/25/2026 12:00:00 AM,Pertalite,3.2,MALANG KOTA,32000
260125S038,HCI,1/25/2026 12:00:00 AM,Solar,6.56,MALANG UTARA,44600
260125S039,HCI,1/25/2026 12:00:00 AM,Solar,8.47,MALANG BARAT,57600
260125S037,HCI,1/25/2026 12:00:00 AM,Solar,6.45,MALANG UTARA,43900
260126S043,HCI,1/26/2026 12:00:00 AM,Solar,7,MALANG SELATAN,47600
260126S040,HCI,1/26/2026 12:00:00 AM,Pertalite,3.75,-,37500
260126S041,HCI,1/26/2026 12:00:00 AM,Pertalite,2.8,MALANG UTARA,28000
260126S044,HCI,1/26/2026 12:00:00 AM,Solar,13.23,MALANG TIMUR,90000
260126S048,HCI,1/26/2026 12:00:00 AM,Solar,19.56,BATU,133000
260126S042,HCI,1/26/2026 12:00:00 AM,Solar,9.67,MALANG UTARA,65800
260127S038,HCI,1/27/2026 12:00:00 AM,Solar,4.64,MALANG UTARA,31600
260127S037,HCI,1/27/2026 12:00:00 AM,Pertalite,6.39,BATU,63900
260127S035,HCI,1/27/2026 12:00:00 AM,Solar,8.54,BATU,58100
260127S034,HCI,1/27/2026 12:00:00 AM,Solar,11.01,MALANG SELATAN,74900
260127S036,HCI,1/27/2026 12:00:00 AM,Solar,7.93,MALANG TIMUR,53900
260128S027,HCI,1/28/2026 12:00:00 AM,Solar,4.41,MALANG TIMUR,30000
260128S037,HCI,1/28/2026 12:00:00 AM,Pertalite,2.19,MALANG KOTA,21900
260128S038,HCI,1/28/2026 12:00:00 AM,Pertalite,2.29,MALANG KOTA,22900
260128S035,HCI,1/28/2026 12:00:00 AM,Solar,8.17,MALANG UTARA,55500
260128S036,HCI,1/28/2026 12:00:00 AM,Solar,8.95,BATU,60900
260128S034,HCI,1/28/2026 12:00:00 AM,Solar,17.35,MALANG SELATAN,118000
260129S026,HCI,1/29/2026 12:00:00 AM,Solar,9.56,BATU,65000
260129S028,HCI,1/29/2026 12:00:00 AM,Pertalite,3,MALANG KOTA,30000
260129S032,HCI,1/29/2026 12:00:00 AM,Pertalite,6.5,MALANG KOTA,65000
260129S027,HCI,1/29/2026 12:00:00 AM,Solar,11.4,MALANG TIMUR,77500
260129S030,HCI,1/29/2026 12:00:00 AM,Solar,8.51,MALANG UTARA,57900
260129S025,HCI,1/29/2026 12:00:00 AM,Solar,17.62,MALANG KOTA,119800
260130S038,HCI,1/30/2026 12:00:00 AM,Solar,10.76,MALANG UTARA,73200
260130S041,HCI,1/30/2026 12:00:00 AM,Pertalite,9.99,BATU,99900
260130S042,HCI,1/30/2026 12:00:00 AM,Pertalite,3.3,MALANG KOTA,33000
260130S040,HCI,1/30/2026 12:00:00 AM,Solar,12.06,MALANG SELATAN,82000
260130S039,HCI,1/30/2026 12:00:00 AM,Solar,8.34,MALANG TIMUR,56700
260130HS001,HCI,1/30/2026 12:00:00 AM,Solar,17.91,MALANG KOTA,121800
260131S018,HCI,1/31/2026 12:00:00 AM,Solar,14.47,MALANG SELATAN,98400
260131S047,HCI,1/31/2026 12:00:00 AM,Pertalite,5,MALANG KOTA,50000
