LC,OWNER,Delivery Date,Fuel's Type,Qty Fuel,Jalur,BBM IDR
260101S141,HCI,1/1/2026,Pertalite,4.89,Tangerang,
260101S051,HCI,1/1/2026,Solar,8.37,Tangerang,
260101S057,HCI,1/1/2026,Solar,10.49,Tangerang,
260101S048,HCI,1/1/2026,Solar,5.95,Tangerang,
260101S056,HCI,1/1/2026,Solar,12.33,Tangerang,
260101S055,HCI,1/1/2026,Solar,9.22,Tangerang,
260101S054,HCI,1/1/2026,Solar,10.22,Tangerang,
260101S047,HCI,1/1/2026,Solar,9.69,Tangerang,
260101S140,HCI,1/1/2026,Solar,6.28,Tangerang,
260101S052,HCI,1/1/2026,Solar,11.63,Tangerang,
260101S053,HCI,1/1/2026,Solar,9.07,Tangerang,
260101S139,HCI,1/1/2026,Solar,5.49,Tangerang,
260101S049,HCI,1/1/2026,Solar,8.36,Tangerang,
260101S050,HCI,1/1/2026,Solar,8.66,Tangerang,
260102S040,HCI,1/2/2026,Rechecked,,Tangerang,
260102S045,HCI,1/2/2026,Solar,12.26,Tangerang,
260102S043,HCI,1/2/2026,Solar,15.33,Tangerang,
260102S047,HCI,1/2/2026,Solar,16.55,Tangerang,
260102S054,HCI,1/2/2026,Solar,14.62,Tangerang,
260102S051,HCI,1/2/2026,Solar,12.72,Tangerang,
260102S046,HCI,1/2/2026,Solar,11.72,Tangerang,
260102S041,HCI,1/2/2026,Solar,19.55,Tangerang,
260102S129,HCI,1/2/2026,Solar,10.88,Tangerang,
260102S056,HCI,1/2/2026,Solar,11.57,Tangerang,
260102S052,HCI,1/2/2026,Solar,13.03,Tangerang,
260102S044,HCI,1/2/2026,Solar,14.08,Tangerang,
260102S042,HCI,1/2/2026,Solar,10.08,Tangerang,
260102S048,HCI,1/2/2026,Solar,17.49,Tangerang,
260103S035,HCI,1/3/2026,Pertalite,8.66,Tangerang,
260103S054,HCI,1/3/2026,Solar,8.78,Tangerang,
260103S049,HCI,1/3/2026,Solar,9.4,Tangerang,
260103S057,HCI,1/3/2026,Solar,15.87,Tangerang,
260103S052,HCI,1/3/2026,Solar,10.38,Tangerang,
260103S055,HCI,1/3/2026,Solar,15.77,Tangerang,
260103S053,HCI,1/3/2026,Solar,10.56,Tangerang,
260103S047,HCI,1/3/2026,Solar,16.78,Tangerang,
260103S059,HCI,1/3/2026,Solar,10.65,Tangerang,
260103S058,HCI,1/3/2026,Solar,10.5,Tangerang,
260103S051,HCI,1/3/2026,Solar,14.17,Tangerang,
260103S056,HCI,1/3/2026,Solar,13.89,Tangerang,
260103S165,HCI,1/3/2026,Solar,10.64,Tangerang,
260103S048,HCI,1/3/2026,Solar,16.24,Tangerang,
260104S056,HCI,1/4/2026,Rechecked,,Tangerang,
260104S048,HCI,1/4/2026,Solar,10.84,Tangerang,
260104S043,HCI,1/4/2026,Solar,9.86,Tangerang,
260104S051,HCI,1/4/2026,Solar,12.41,Tangerang,
260104S054,HCI,1/4/2026,Solar,10.53,Tangerang,
260104S052,HCI,1/4/2026,Solar,12.96,Tangerang,
260104S049,HCI,1/4/2026,Solar,8.65,Tangerang,
260104S040,HCI,1/4/2026,Solar,10.2,Tangerang,
260104S050,HCI,1/4/2026,Solar,15.67,Tangerang,
260104S038,HCI,1/4/2026,Solar,13.07,Tangerang,
260104S159,HCI,1/4/2026,Solar,11.36,Tangerang,
260104S047,HCI,1/4/2026,Solar,7.98,Tangerang,
260104S053,HCI,1/4/2026,Solar,6.75,Tangerang,
260104S157,HCI,1/4/2026,Solar,13.48,Tangerang,
260105S133,HCI,1/5/2026,Rechecked,,Tangerang,
260105S071,HCI,1/5/2026,Solar,13.95,Tangerang,
260105S069,HCI,1/5/2026,Solar,15.42,Tangerang,
260105S076,HCI,1/5/2026,Solar,14.32,Tangerang,
260105S079,HCI,1/5/2026,Solar,11.87,Tangerang,
260105S075,HCI,1/5/2026,Solar,19.9,Tangerang,
260105S072,HCI,1/5/2026,Solar,15.86,Tangerang,
260105S074,HCI,1/5/2026,Solar,17.04,Tangerang,
260105S078,HCI,1/5/2026,Solar,13.23,Tangerang,
260105S073,HCI,1/5/2026,Solar,17.27,Tangerang,
260105S070,HCI,1/5/2026,Solar,11.87,Tangerang,
260105S067,HCI,1/5/2026,Solar,13.66,Tangerang,
260105S068,HCI,1/5/2026,Solar,12.19,Tangerang,
260105S077,HCI,1/5/2026,Solar,10.04,Tangerang,
260106S040,HCI,1/6/2026,Rechecked,,Tangerang,
260106S048,HCI,1/6/2026,Solar,9.83,Tangerang,
260106S045,HCI,1/6/2026,Solar,13.34,Tangerang,
260106S059,HCI,1/6/2026,Solar,13.91,Tangerang,
260106S180,HCI,1/6/2026,Rechecked,10.61,Tangerang,
260106S056,HCI,1/6/2026,Solar,19.72,Tangerang,
260106S057,HCI,1/6/2026,Solar,8.35,Tangerang,
260106S052,HCI,1/6/2026,Solar,10.99,Tangerang,
260106S041,HCI,1/6/2026,Solar,13.28,Tangerang,
260106S055,HCI,1/6/2026,Solar,11.39,Tangerang,
260106S169,HCI,1/6/2026,Solar,10.54,Tangerang,
260106S060,HCI,1/6/2026,Solar,13.02,Tangerang,
260106S181,HCI,1/6/2026,Rechecked,,Tangerang,
260106S047,HCI,1/6/2026,Solar,5.36,Tangerang,
260106S043,HCI,1/6/2026,Solar,14.07,Tangerang,
260106S061,HCI,1/6/2026,Rechecked,,Tangerang,
260107S031,HCI,1/7/2026,Rechecked,,Tangerang,
260107S037,HCI,1/7/2026,Solar,12.19,Tangerang,
260107S040,HCI,1/7/2026,Solar,17.57,Tangerang,
260107S035,HCI,1/7/2026,Solar,14.65,Tangerang,
260107S036,HCI,1/7/2026,Solar,11.51,Tangerang,
260107S041,HCI,1/7/2026,Solar,19.84,Tangerang,
