LC,OWNER,Delivery Date,Fuel's Type,Qty Fuel,Jalur,BBM IDR
,,1 March 2026,Dexlite,69,,"Rp1,024,900"
,,1 March 2026,Dexlite,78,,"Rp1,150,100"
,,1 March 2026,Pertalite,35,,"Rp345,000"
,,1 March 2026,Dexlite,74,,"Rp1,100,100"
,,1 March 2026,Pertalite,33,,"Rp333,600"
,,1 March 2026,Dexlite,81,,"Rp1,200,000"
,,1 March 2026,Dexlite,80,,"Rp1,180,000"
,,9 March 2026,Dexlite,81,,"Rp1,200,000"
,,9 March 2026,Pertalite,35,,"Rp350,100"
,,9 March 2026,Pertalite,37,,"Rp370,000"
,,10 March 2026,Pertalite,37,,"Rp365,700"
,,10 March 2026,Dexlite,80,,"Rp1,179,400"
,,10 March 2026,Dexlite,75,,"Rp1,105,100"
,,12 March 2026,Pertalite,34,,"Rp340,000"
,,12 March 2026,Pertalite,35,,"Rp350,500"
,,12 March 2026,Dexlite,81,,"Rp1,200,000"
,,12 March 2026,Dexlite,79,,"Rp1,169,200"
,,12 March 2026,Dexlite,81,,"Rp1,200,000"
,,18 March 2026,Dexlite,77,,"Rp1,145,100"
,,18 March 2026,Pertalite,38,,"Rp375,000"
,,18 March 2026,Dexlite,77,,"Rp1,141,500"
,,18 March 2026,Pertalite,37,,"Rp374,800"
,,18 March 2026,Dexlite,78,,"Rp1,150,100"
,,18 March 2026,Pertalite,31,,"Rp309,000"
,,18 March 2026,Dexlite,81,,"Rp1,198,800"
,,18 March 2026,Dexlite,81,,"Rp1,200,000"
,,18 March 2026,Dexlite,81,,"Rp1,200,000"
,,20 March 2026,Dexlite,78,,"Rp1,155,000"
,,25 March 2026,Pertalite,35,,"Rp350,000"
,,26 Mar 2026,Dexlite,78,,"Rp 1,150,000"
,,26 Mar 2026,Pertalite,38,,"Rp 380,000"
,,26 Mar 2026,Pertalite,40,,"Rp 400,000"
,,26 Mar 2026,Dexlite,81,,"Rp 1,200,000"
,,26 March 2026,Dexlite,81,,"Rp 1,200,000"
,,26 Mar 2026,Pertalite,37,,"Rp 365,000"
,,26 Mar 2026,Pertalite,34,,"Rp 335,200"
,,26 March 2026,Pertalite,37,,"Rp365,000"
,,26 Mar 2026,Dexlite,77,,"Rp 1,140,000"
,,26 March 2026,Dexlite,77,,"Rp1,140,000"
,,29 Mar 2026,Dexlite,81,,"Rp 1,200,000"
,,29 Mar 2026,Pertalite,35,,"Rp 350,100"
,,29 Mar 2026,Dexlite,81,,"Rp 1,200,000"
,,29 Mar 2026,Dexlite,81,,"Rp 1,200,000"
,,01 Apr 2026,Pertalite,40,,"Rp 400,000"
,,02 Apr 2026,Pertalite,39,,"Rp394,900"
,,02 Apr 2026,Dexlite,81,,"Rp 1,198,000"
,,07 Apr 2026,Dexlite,73,,"Rp 1,074,900"
,,13 Apr 2026,Dexlite,81,,"Rp 1,200,000"
,,13 Apr 2026,Pertalite,33,,"Rp 326,600"
,,13 Apr 2026,Dexlite,79,,"Rp 1,165,000"
,,13 Apr 2026,Dexlite,81,,"Rp 1,200,000"
,,14 Apr 2026,Dexlite,79,,"Rp 1,165,100"
,,14 Apr 2026,Pertalite,35,,"Rp 350,000"
,,16 Apr 2026,Pertalite,36,,"Rp 364,000"
,,16 Apr 2026,Pertalite,36,,"Rp 360,000"
,,16 Apr 2026,Dexlite,47,,"Rp 700,100"
,,16 Apr 2026,Dexlite,81,,"Rp1,200,000"
,,18 Apr 2026,Dexlite,49,,"Rp1,200,000"
,,18 Apr 2026,Pertalite,40,,"Rp400,000"
,,20 Apr 2026,Pertalite,40,,"Rp400,000"
,,20 Apr 2026,Pertalite,40,,"Rp400,000"
,,22 Apr 2026,Pertalite,34,,"Rp 335,000"
,,24 Apr 2026,Pertalite,36,,"Rp 357,000"
,,24 Apr 2026,Dexlite,73,,"Rp 1,800,000"
,,24 Apr 2026,Dexlite,69,,"Rp 1,700,000"
,,25 Apr 2026,Dexlite,89,,"Rp2,200,000"
,,25 Apr 2026,Dexlite,77,,"Rp1,900,000"
,,25 Apr 2026,Dexlite,57,,"Rp1,400,000"
,,26 Apr 2026,Pertalite,30,,"Rp 302,500"
,,28 Apr 2026,Dexlite,73,,"Rp 1,800,000"
,,28 Apr 2026,Pertalite,34,,"Rp 344,000"
,,29 Apr 2026,Dexlite,84,,"Rp2,075,000"
,,29 Apr 2026,Dexlite,61,,"Rp1,500,000"
,,29 April 2026,Dexlite,84,,"Rp2,075,000"
,,2 May 2026,Dexlite,61,,"Rp1,500,000"
,,2 May 2026,Dexlite,77,,"Rp1,900,000"
,,3 May 2026,Pertalite,37,,"Rp365,000"
,,4 May 2026,Dexlite,66,,"Rp 1,800,000"
,,5 May 2026,Pertalite,38,,"Rp380,000"
,,5 May 2026,Pertalite,31,,"Rp309,100"
,,6 May 2026,Dexlite,66,,"Rp1,800,000"
,,6 May 2026,Dexlite,70,,"Rp1,900,000"
,,9 May 2026,Dexlite,70,,"Rp1,900,000"
,,9 May 2026,Dexlite,66,,"Rp1,800,000"
,,10 May 2026,Pertalite,37,,"Rp365,000"
,,10 May 2026,Pertalite,33,,"Rp330,000"
,,10 May 2026,Dexlite,70,,"Rp 1,900,000"
,,12 May 2026,Dexlite,64,,"Rp 1,750,000"
,,12 May 2026,Dexlite,64,,"Rp 1,750,000"
,,14 May 2026,Pertalite,33,,"Rp330,000"
,,15 May 2026,Dexlite,66,,"Rp1,800,000"
,,15 May 2026,Dexlite,64,,"Rp 1,750,000"
,,19 May 2026,Dexlite,59,,"Rp 1,600,000"
,,19 May 2026,Dexlite,70,,"Rp 1,900,000"
,,21 May 2026,Dexlite,66,,"Rp1,800,000"
,,21 May 2026,Dexlite,64,,"Rp1,730,000"
,,21 May 2026,Pertalite,34,,"Rp340,000"
,,22 May 2026,Pertalite,34,,"Rp340,000"
,,23 May 2026,Dexlite,56,,"Rp1,510,000"
,,24 May 2026,Pertalite,35,,"Rp 346,900"
,,24 May 2026,Dexlite,62,,"Rp 1,690,100"
,,25 May 2026,Dexlite,42,,"Rp1,142,000"
,,29 May 2026,Dexlite,52,,"Rp1,400,000"
,,29 May 2026,Dexlite,59,,"Rp1,600,000"
,,29 May 2026,Dexlite,59,,"Rp1,600,000"
,,30 May 2026,Pertalite,36,,"Rp362,100"
,,30 May 2026,Dexlite,59,,"Rp1,600,000"
,,2 June 2026,Pertalite,33,,"Rp333,300"
,,3 June 2026,Dexlite,71,,"Rp1,700,000"
,,3 June 2026,Dexlite,67,,"Rp1,600,000"
