LC,OWNER,Delivery Date,Fuel's Type,Qty Fuel,Jalur,BBM IDR
,,02 March 2026,Pertalite,40.0,,400000
,,04 March 2026,Pertalite,40.0,,400000
,,07 March 2026,Pertalite,40.0,,400000
,,04 March 2026,Dexlite,72.0,,966400
,,08 March 2026,Dexlite,74.0,,1000000
,,10 March 2026,Dexlite,30.0,,400000
,,14 March 2026,Dexlite,55.0,,736700
,,04 March 2026,Dexlite,86.0,,1150000
,,08 March 2026,Dexlite,74.0,,1000000
,,02 March 2026,Dexlite,74.0,,989300
,,05 March 2026,Dexlite,82.0,,1100000
,,09 March 2026,Dexlite,80.0,,1070300
,,02 March 2026,Pertalite,40.0,,400000
,,04 March 2026,Pertalite,39.0,,391800
,,07 March 2026,Pertalite,40.0,,400000
,,09 March 2026,Pertalite,40.0,,400000
,,02 March 2026,Pertalite,40.0,,400000
,,04 March 2026,Pertalite,40.0,,398900
,,06 March 2026,Pertalite,40.0,,395000
,,03 March 2026,Pertalite,36.0,,357600
,,05 March 2026,Pertalite,40.0,,400000
,,09 March 2026,Pertalite,40.0,,400000
,,18 March 2026,Pertalite,40.0,,400000
,,21 March 2026,Pertalite,40.0,,400000
,,24 March 2026,Pertalite,40.0,,400000
,,27 March 2026,Pertalite,40.0,,400000
,,30 March 2026,Pertalite,40.0,,400000
,,16 March 2026,Dexlite,82.0,,1100000
,,21 March 2026,Dexlite,73.0,,983800
,,25 March 2026,Dexlite,72.0,,967600
,,30 March 2026,Dexlite,67.0,,903400
,,16 March 2026,Dexlite,78.0,,1050000
,,21 March 2026,Dexlite,74.0,,1000000
,,25 March 2026,Dexlite,74.0,,1000000
,,29 March 2026,Dexlite,78.0,,1050000
,,18 March 2026,Dexlite,86.0,,1150000
,,22 March 2026,Dexlite,81.0,,1096000
,,27 March 2026,Dexlite,82.0,,1100000
,,31 March 2026,Dexlite,77.0,,1037200
,,18 March 2026,Pertalite,40.0,,398800
,,21 March 2026,Pertalite,40.0,,400000
,,24 March 2026,Pertalite,40.0,,400000
,,27 March 2026,Pertalite,40.0,,400000
,,30 March 2026,Pertalite,40.0,,396900
,,16 March 2026,Pertalite,40.0,,400000
,,20 March 2026,Pertalite,40.0,,400000
,,23 March 2026,Pertalite,40.0,,400000
,,26 March 2026,Pertalite,40.0,,400000
,,29 March 2026,Pertalite,40.0,,400000
,,19 March 2026,Pertalite,40.0,,400000
,,23 March 2026,Pertalite,40.0,,400000
,,27 March 2026,Pertalite,40.0,,400000
,,31 March 2026,Pertalite,40.0,,400000
,,01 Apr 2026,Pertalite,40.0,,400000
,,01 Apr 2026,Pertalite,40.0,,396900
,,02 Apr 2026,Pertalite,40.0,,398400
,,03 Apr 2026,Pertalite,39.0,,390000
,,04 Apr 2026,Dexlite,65.0,,890100
,,04 Apr 2026,Dexlite,73.0,,1000000
,,05 Apr 2026,Pertalite,40.0,,400000
,,06 Apr 2026,Dexlite,80.0,,1100000
,,06 Apr 2026,Pertalite,40.0,,400000
,,08 Apr 2026,Pertalite,40.0,,400000
,,08 Apr 2026,Dexlite,78.0,,1070000
,,09 Apr 2026,Pertalite,39.0,,388500
,,09 Apr 2026,Pertalite,40.0,,400000
,,10 Apr 2026,Dexlite,73.0,,1000000
,,11 Apr 2026,Pertalite,38.0,,378000
,,13 Apr 2026,Pertalite,40.0,,400000
,,13 Apr 2026,Pertalite,40.0,,396500
,,15 Apr 2026,Dexlite,76.0,,1020000
,,15 Apr 2026,Pertalite,40.0,,400000
,,16 Apr 2026,Pertalite,40.0,,400000
,,17 Apr 2026,Pertalite,40.0,,400000
,,18 Apr 2026,Dexlite,84.0,,1900000
,,19 Apr 2026,Pertalite,40.0,,400000
,,20 Apr 2026,Pertalite,40.0,,400000
,,20 Apr 2026,Dexlite,77.0,,1719000
,,21 Apr 2026,Dexlite,79.0,,1770000
,,22 Apr 2026,Pertalite,40.0,,400000
,,23 Apr 2026,Pertalite,40.0,,400000
,,24 Apr 2026,Dexlite,77.0,,"Rp 1,748,600"
,,26 Apr 2026,Pertalite,40.0,,"Rp 400,000"
,,27 Apr 2026,Dexlite,78.0,,"Rp 1,766,000"
,,28 Apr 2026,Dexlite,80.0,,"Rp 1,800,000"
,,28 Apr 2026,Dexlite,81.0,,"Rp 1,843,100"
,,28 Apr 2026,Pertalite,40.0,,"Rp 400,000"
,,28 Apr 2026,Pertalite,40.0,,"Rp 398,000"
,,29 Apr 2026,Pertalite,40.0,,"Rp 396,000"
,,30 Apr 2026,Dexlite,75.0,,"Rp 1,700,000"
,,01 May 2026,Pertalite,40.0,,"Rp 400,000"
,,02 May 2026,Pertalite,40.0,,"Rp 395,400"
,,05 May 2026,Dexlite,79.0,,"Rp 2,102,500"
,,05 May 2026,Dexlite,72.0,,"Rp 1,900,000"
,,05 May 2026,Pertalite,40.0,,"Rp 400,000"
,,06 May 2026,Dexlite,77.0,,"Rp 1,900,000"
,,08 May 2026,Pertalite,40.0,,"Rp 400,000"
,,08 May 2026,Dexlite,66.0,,"Rp 1,744,100"
,,10 May 2026,Pertalite,40.0,,"Rp 400,000"
,,12 May 2026,Pertalite,72.0,,"Rp 1,900,000"
,,13 May 2026,Pertalite,40.0,,"Rp 400,000"
