LC,OWNER,Delivery Date,Fuel's Type,Qty Fuel,Jalur,BBM IDR
,,02 Jan 2026,Dexlite,39,,"Rp 590,000"
,,03 Jan 2026,Pertamax,36,,"Rp 453,000"
,,06 Jan 2026,Pertamax,37,,"Rp 466,660"
,,07 Jan 2026,Dexlite,65,,"Rp 900,000"
,,13 Jan 2026,Dexlite,49,,"Rp 670,000"
,,14 Jan 2026,Pertamax,38,,"Rp 479,690"
,,16 Jan 2026,Dexlite,36,,"Rp 490,000"
,,17 Jan 2026,Pertamax,13,,"Rp 460,080"
,,19 Jan 2026,Dexlite,42,,"Rp 568,000"
,,20 Jan 2026,Pertamax,35,,"Rp 437,310"
,,22 Jan 2026,Dexlite,42,,"Rp 585,000"
,,22 Jan 2026,Pertamax,37,,"Rp 468,430"
,,25 Jan 2026,Dexlite,50,,"Rp 695,000"
,,26 Jan 2026,Dexlite,32,,"Rp 828,000"
,,28 Jan 2026,Dexlite,51,,"Rp 700,000"
,,29 Jan 2026,Dexlite,42,,"Rp 585,000"
,,30 Jan 2026,Dexlite,36,,"Rp 495,000"
,,31 Jan 2026,Pertamax,34,,"Rp 430,100"
,,03 Feb 2026,Dexlite,22,,"Rp 300,000"
,,03 Feb 2026,Pertamax,33,,"Rp 394,340"
,,04 Feb 2026,Dexlite,14,,"Rp 742,000"
,,04 Feb 2026,Dexlite,14,,"Rp 495,000"
,,06 Feb 2026,Pertamax,29,,"Rp 355,380"
,,07 Feb 2026,Dexlite,64,,"Rp 870,000"
,,09 Feb 2026,Pertamax,32,,"Rp 385,870"
,,09 Feb 2026,Dexlite,49,,"Rp 658,000"
,,10 Feb 2026,Dexlite,42,,"Rp 570,000"
,,11 Feb 2026,Pertamax,35,,"Rp 428,100"
,,12 Feb 2026,Dexlite,47,,"Rp 630,075"
,,15 Feb 2026,Pertamax,36,,"Rp 430,760"
,,15 Feb 2026,Dexlite,49,,"Rp 670,515"
,,17 Feb 2026,Dexlite,86,,"Rp 1,165,000"
,,20 Feb 2026,Dexlite,51,,"Rp 690,000"
,,20 Feb 2026,Pertamax,41,,"Rp 491,500"
,,20 Feb 2026,Dexlite,59,,"Rp 800,000"
,,24 Feb 2026,Dexlite,44,,"Rp 590,000"
