LC,OWNER,Delivery Date,Fuel's Type,Qty Fuel,Jalur,BBM IDR
,,,Bio Solar,,,
,,02 Mar 2026,Pertalite,27,,"Rp 267,000"
,,03 Mar 2026,Dexlite,24,,"Rp 350,000"
,,05 Mar 2026,Pertalite,32,,"Rp 320,000"
,,07 Mar 2026,Dexlite,25,,"Rp 360,000"
,,08 Mar 2026,Pertalite,39,,"Rp 388,000"
,,10 Mar 2026,Dexlite,24,,"Rp 350,000"
,,11 Mar 2026,Pertalite,37,,"Rp 368,000"
,,12 Mar 2026,Dexlite,21,,"Rp 300,000"
,,13 Mar 2026,Pertalite,31,,"Rp 309,000"
,,14 Mar 2026,Dexlite,21,,"Rp 300,000"
,,15 Mar 2026,Pertalite,33,,"Rp 327,000"
,,16 Mar 2026,Dexlite,26,,"Rp 380,000"
,,17 Mar 2026,Pertalite,27,,"Rp 269,000"
,,18 Mar 2026,Pertalite,29,,"Rp 293,000"
,,18 Mar 2026,Dexlite,29,,"Rp 420,000"
,,20 Mar 2026,Dexlite,32,,"Rp 460,000"
,,20 Mar 2026,Pertalite,25,,"Rp 247,000"
,,23 Mar 2026,Pertalite,28,,"Rp 279,000"
,,24 Mar 2026,Dexlite,16,,"Rp 238,000"
,,26 Mar 2026,Pertalite,30,,"Rp 300,000"
,,26 Mar 2026,Dexlite,28,,"Rp 399,910"
,,28 Mar 2026,Pertalite,28,,"Rp 277,000"
,,28 Mar 2026,Dexlite,28,,"Rp 402,000"
,,31 Mar 2026,Dexlite,21,,"Rp 300,000"
,,31 Mar 2026,Pertalite,30,,"Rp 300,000"
,,01 Apr 2026,Pertalite,24,,"Rp 240,000"
,,02 Apr 2026,Dexlite,27,,"Rp 384,395"
,,04 Apr 2026,Dexlite,16,,"Rp 228,000"
,,01 Apr 2026,Pertalite,35,,"Rp 346,000"
,,07 Apr 2026,Pertalite,22,,"Rp 218,000"
,,07 Apr 2026,Dexlite,28,,"Rp 402,000"
,,10 Apr 2026,Pertalite,28,,"Rp 285,000"
,,11 Apr 2026,Dexlite,23,,"Rp 332,000"
,,12 Apr 2026,Pertalite,32,,"Rp 323,000"
,,15 Apr 2026,Pertalite,30,,"Rp 300,000"
,,15 Apr 2026,Dexlite,24,,"Rp 350,000"
,,17 Apr 2026,Pertalite,29,,"Rp 288,000"
,,18 Apr 2026,Dexlite,25,,"Rp 600,000"
,,21 Apr 2026,Pertalite,28,,"Rp 280,000"
,,21 Apr 2026,Dexlite,15,,"Rp 370,000"
,,24 Apr 2026,Pertalite,34,,"Rp 337,000"
,,24 Apr 2026,Dexlite,12,,"Rp 300,000"
,,27 Apr 2026,Dexlite,15,,"Rp 355,000"
,,29 Apr 2026,Dexlite,19,,"Rp 450,000"
,,30 Apr 2026,Dexlite,21,,"Rp 500,000"
,,30 Apr 2026,Pertalite,35,,"Rp 350,000"
,,04 May 2026,Dexlite,19,,"Rp 500,000"
,,04 May 2026,Pertalite,35,,"Rp 350,000"
,,06 May 2026,Dexlite,19,,"Rp 500,000"
,,07 May 2026,Pertalite,35,,"Rp 350,000"
,,09 May 2026,Dexlite,21,,"Rp 570,000"
,,12 May 2026,Dexlite,20,,"Rp 530,000"
,,12 May 2026,Pertalite,35,,"Rp 350,000"
,,15 May 2026,Dexlite,30,,"Rp 800,000"
,,15 May 2026,Pertalite,35,,"Rp 348,000"
,,16 May 2026,Bio Solar,12,,"Rp 80,000"
