LC,OWNER,Delivery Date,Fuel's Type,Qty Fuel,Jalur,BBM IDR
,,25 Mar 2026,Dexlite,84,,"Rp 1,167,000"
,,28 Mar 2026,Pertalite,35,,"Rp 350,000"
,,30 Mar 2026,Dexlite,74,,"Rp 1,021,000"
,,30 Mar 2026,Pertalite,39,,"Rp 390,000"
,,01 Apr 2026,Dexlite,57,,"Rp 786,000"
,,03 Apr 2026,Pertalite,36,,"Rp 356,000"
,,05 Apr 2026,Dexlite,77,,"Rp 1,069,000"
,,08 Apr 2026,Dexlite,78,,"Rp 1,072,000"
,,09 Apr 2026,Pertalite,41,,"Rp 412,000"
,,10 Apr 2026,Dexlite,85,,"Rp 1,177,000"
,,13 Apr 2026,Pertalite,41,,"Rp 408,000"
,,15 Apr 2026,Dexlite,90,,"Rp 1,245,000"
,,17 Apr 2026,Dexlite,79,,"Rp 1,087,000"
,,20 Apr 2026,Pertalite,33,,"Rp 333,000"
,,22 Apr 2026,Dexlite,44,,"Rp 1,010,000"
,,23 Apr 2026,Dexlite,55,,"Rp 1,243,000"
,,24 Apr 2026,Pertalite,38,,"Rp 381,000"
,,28 Apr 2026,Dexlite,55,,"Rp 1,250,000"
,,28 Apr 2026,Dexlite,71,,"Rp 1,623,000"
,,28 Apr 2026,Pertalite,42,,"Rp 418,000"
,,04 May 2026,Dexlite,68,,"Rp 1,797,000"
,,04 May 2026,Pertalite,33,,"Rp 327,000"
,,05 May 2026,Dexlite,73,,"Rp 1,930,000"
,,07 May 2026,Pertalite,44,,"Rp 442,000"
,,11 May 2026,Dexlite,64,,"Rp 1,695,000"
,,12 May 2026,Dexlite,55,,"Rp 1,457,000"
,,14 May 2026,Dexlite,50,,"Rp 1,338,000"
,,15 May 2026,Pertalite,45,,"Rp 447,000"
,,17 May 2026,Dexlite,13,,"Rp 353,000"
,,20 May 2026,Pertalite,55,,"Rp 551,000"
,,20 May 2026,Dexlite,53,,"Rp 1,399,000"
,,21 May 2026,Dexlite,56,,"Rp 1,474,000"
,,23 May 2026,Dexlite,55,,"Rp 1,470,000"
,,26 May 2026,Dexlite,60,,"Rp 1,590,000"
,,29 May 2026,Pertalite,35,,"Rp 348,000"
,,30 May 2026,Dexlite,56,,"Rp 1,484,000"
,,01 Jun 2026,Pertalite,35,,"Rp 353,000"
,,02 Jun 2026,Dexlite,61,,"Rp 1,430,000"
,,03 Jun 2026,Dexlite,64,,"Rp 1,514,000"
,,04 Jun 2026,Pertalite,37,,"Rp 368,000"
,,06 Jun 2026,Dexlite,45,,"Rp 1,049,000"
,,06 Jun 2026,Dexlite,57,,"Rp 1,334,000"
,,09 Jun 2026,Pertalite,38,,"Rp 381,000"
,,09 Jun 2026,Dexlite,73,,"Rp 1,711,000"
,,12 Jun 2026,Dexlite,61,,"Rp 1,444,000"
,,15 Jun 2026,Dexlite,49,,"Rp 1,153,000"
,,15 Jun 2026,Pertalite,44,,"Rp 435,000"
,,17 Jun 2026,Pertalite,43,,"Rp 430,000"
,,17 Jun 2026,Dexlite,67,,"Rp 1,582,000"
,,20 Jun 2026,Dexlite,62,,"Rp 1,453,000"
,,20 Jun 2026,Dexlite,67,,"Rp 1,570,000"
,,23 Jun 2026,Pertalite,39,,"Rp 386,000"
,,24 Jun 2026,Dexlite,73,,"Rp 1,718,000"
,,24 Jun 2026,Dexlite,55,,"Rp 1,291,000"
,,27 Jun 2026,Dexlite,38,,"Rp 906,000"
,,29 Jun 2026,Pertalite,45,,"Rp 445,000"
,,30 Jun 2026,Dexlite,52,,"Rp 1,216,000"
