LC,OWNER,Delivery Date,Fuel's Type,Qty Fuel,Jalur,BBM IDR
,,02 Jan 2026,Pertalite,37.69,,"Rp 376,900"
,,04 Jan 2026,Dexlite,41.22,,"Rp 568,808"
,,06 Jan 2026,Pertalite,37.6,,"Rp 376,000"
,,08 Jan 2026,Dexlite,36.23,,"Rp 500,043"
,,10 Jan 2026,Pertalite,35.11,,"Rp 351,100"
,,11 Jan 2026,Dexlite,39.87,,"Rp 550,178"
,,13 Jan 2026,Pertalite,37.0,,"Rp 370,000"
,,16 Jan 2026,Pertalite,34.13,,"Rp 341,300"
,,17 Jan 2026,Dexlite,44.0,,"Rp 607,200"
,,18 Jan 2026,Pertalite,40.0,,"Rp 400,000"
,,21 Jan 2026,Dexlite,47.12,,"Rp 650,187"
,,21 Jan 2026,Pertalite,38.03,,"Rp 380,300"
,,25 Jan 2026,Pertalite,37.6,,"Rp 376,000"
,,26 Jan 2026,Dexlite,50.02,,"Rp 690,207"
,,29 Jan 2026,Dexlite,49.28,,"Rp 680,133"
,,30 Jan 2026,Pertalite,40.0,,"Rp 400,000"
,,02 Feb 2026,Pertalite,39.3,,"Rp 393,000"
,,04 Feb 2026,Dexlite,45.76,,"Rp 620,048"
,,08 Feb 2026,Pertalite,36.9,,"Rp 369,000"
,,09 Feb 2026,Dexlite,38.77,,"Rp 525,306"
,,10 Feb 2026,Pertalite,39.02,,"Rp 390,200"
,,12 Feb 2026,Dexlite,48.0,,"Rp 650,441"
,,13 Feb 2026,Pertalite,40.0,,"Rp 400,000"
,,14 Feb 2026,Pertalite,36.3,,"Rp 363,000"
,,15 Feb 2026,Dexlite,40.79,,"Rp 552,637"
,,17 Feb 2026,Pertalite,38.09,,"Rp 380,900"
,,20 Feb 2026,Pertalite,39.0,,"Rp 390,000"
,,20 Feb 2026,Dexlite,42.21,,"Rp 571,940"
,,22 Feb 2026,Dexlite,30.88,,"Rp 308,800"
,,24 Feb 2026,Pertalite,40.0,,"Rp 400,000"
,,24 Feb 2026,Dexlite,40.97,,"Rp 555,116"
,,02 Mar 2026,Pertalite,39.7,,"Rp 397,000"
,,04 Mar 2026,Pertalite,40.0,,"Rp 400,000"
