LC,OWNER,Delivery Date,Fuel's Type,Qty Fuel,Jalur,BBM IDR
,,01 Mar 2026,Pertalite,32,,"Rp 318,900"
,,02 Mar 2026,Pertalite,33,,"Rp 331,800"
,,04 Mar 2026,Pertalite,30,,"Rp 299,500"
,,05 Mar 2026,Pertalite,33,,"Rp 330,000"
,,06 Mar 2026,Dexlite,64,,"Rp 928,600"
,,06 Mar 2026,Pertalite,33,,"Rp 327,700"
,,09 Mar 2026,Pertalite,33,,"Rp 326,000"
,,09 Mar 2026,Pertalite,34,,"Rp 335,000"
,,09 Mar 2026,Dexlite,53,,"Rp 765,200"
,,12 Mar 2026,Pertalite,30,,"Rp 300,000"
,,14 Mar 2026,Pertalite,33,,"Rp 332,000"
,,12 Mar 2026,Pertalite,32,,"Rp 315,000"
,,14 Mar 2026,Pertalite,36,,"Rp 358,000"
,,18 Mar 2026,Pertalite,35,,"Rp 348,000"
,,13 Mar 2026,Dexlite,52,,"Rp 749,100"
,,16 Mar 2026,Dexlite,53,,"Rp 763,700"
,,17 Mar 2026,Pertalite,38,,"Rp 383,400"
,,20 Mar 2026,Pertalite,29,,"Rp 289,900"
,,20 Mar 2026,Pertalite,24,,"Rp 237,000"
,,24 Mar 2026,Dexlite,61,,"Rp 883,000"
,,26 Mar 2026,Pertalite,35,,"Rp 345,000"
,,26 Mar 2026,Pertalite,30,,"Rp 297,900"
,,26 Mar 2026,Dexlite,44,,"Rp 640,400"
,,30 Mar 2026,Pertalite,28,,"Rp 284,000"
,,30 Mar 2026,Dexlite,46,,"Rp 650,700"
,,30 Mar 2026,Dexlite,45,,"Rp 645,200"
,,31 Mar 2026,Pertalite,36,,"Rp 362,500"
,,02 Apr 2026,Dexlite,62,,"Rp 880,000"
,,03 Apr 2026,Pertalite,31,,"Rp 309,000"
,,03 Apr 2026,Pertalite,38,,"Rp 383,900"
,,04 Apr 2026,Dexlite,44,,"Rp 633,200"
,,09 Apr 2026,Dexlite,48,,"Rp 701,220"
,,11 Apr 2026,Dexlite,50,,"Rp 723,260"
,,11 Apr 2026,Pertalite,37,,"Rp 368,300"
,,12 Apr 2026,Pertalite,37,,"Rp 370,400"
,,13 Apr 2026,Dexlite,60,,"Rp 850,135"
,,14 Apr 2026,Pertalite,34,,"Rp 341,920"
,,15 Apr 2026,Pertalite,37,,"Rp 372,000"
,,16 Apr 2026,Pertalite,57,,"Rp 824,035"
,,16 Apr 2026,Dexlite,50,,"Rp 740,150"
,,16 Apr 2026,Pertalite,30,,"Rp 298,100"
,,20 Apr 2026,Dexlite,58,,"Rp 1,410,046"
,,22 Apr 2026,Dexlite,38,,"Rp 909,731"
,,24 Apr 2026,Pertalite,29,,"Rp 285,000"
,,24 Apr 2026,Dexlite,56,,"Rp 1,351,603"
,,26 Apr 2026,Pertalite,29,,"Rp 292,000"
,,27 Apr 2026,Pertalite,36,,"Rp 364,000"
,,28 Apr 2026,Pertalite,46,,"Rp 1,115,972"
,,29 Apr 2026,Dexlite,54,,"Rp 1,310,276"
,,29 Apr 2026,Dexlite,35,,"Rp 350,000"
,,30 Apr 2026,Dexlite,41,,"Rp 1,000,052"
,,30 Apr 2026,Pertalite,35,,"Rp 350,000"
,,02 May 2026,Pertalite,38,,"Rp 376,100"
,,03 May 2026,Dexlite,33,,"Rp 325,000"
,,04 May 2026,Dexlite,43,,"Rp 1,156,435"
,,04 May 2026,Pertalite,37,,"Rp 368,000"
,,05 May 2026,Pertalite,34,,"Rp 344,900"
,,06 May 2026,Dexlite,48,,"Rp 1,278,130"
,,09 May 2026,Pertalite,31,,"Rp 305,100"
,,09 May 2026,Pertalite,34,,"Rp 340,000"
,,12 May 2026,Pertalite,37,,"Rp 372,700"
,,12 May 2026,Dexlite,48,,"Rp 1,276,640"
,,12 May 2026,Dexlite,31,,"Rp 329,700"
,,13 May 2026,Pertalite,33,,"Rp 329,700"
,,14 May 2026,Pertalite,38,,"Rp 379,000"
,,15 May 2026,Dexlite,33,,"Rp 333,000"
,,17 May 2026,Pertalite,28,,"Rp 276,200"
,,17 May 2026,Pertalite,39,,"Rp 1,050,434"
,,18 May 2026,Dexlite,67,,"Rp 1,779,800"
,,19 May 2026,Pertalite,38,,"Rp 376,100"
,,21 May 2026,Dexlite,64,,"Rp 1,694,680"
,,22 May 2026,Dexlite,39,,"Rp 1,030,218"
,,23 May 2026,Pertalite,37,,"Rp 367,000"
,,24 May 2026,Pertalite,33,,"Rp 325,000"
,,26 May 2026,Pertalite,33,,"Rp 330,000"
,,27 May 2026,Pertalite,31,,"Rp 310,150"
,,27 May 2026,Dexlite,43,,"Rp 1,150,450"
,,28 May 2026,Dexlite,66,,"Rp 1,760,450"
,,31 May 2026,Pertalite,28,,"Rp 277,800"
,,31 May 2026,Pertalite,36,,"Rp 362,700"
,,03 Jun 2026,Dexlite,55,,"Rp 1,297,670"
,,03 Jun 2026,Pertalite,33,,"Rp 328,100"
,,03 Jun 2026,Dexlite,55,,"Rp 1,300,960"
,,04 Jun 2026,Pertalite,40,,"Rp 400,000"
,,04 Jun 2026,Dexlite,47,,"Rp 1,100,106"
,,07 Jun 2026,Pertalite,35,,"Rp 348,600"
,,08 Jun 2026,Pertalite,32,,"Rp 323,000"
,,08 Jun 2026,Dexlite,33,,"Rp 775,736"
,,09 Jun 2026,Pertalite,35,,"Rp 348,000"
,,10 Jun 2026,Pertalite,35,,"Rp 345,900"
,,11 Jun 2026,Dexlite,69,,"Rp 1,609,750"
,,12 Jun 2026,Dexlite,38,,"Rp 900,050"
,,15 Jun 2026,Pertalite,35,,"Rp 353,000"
,,15 Jun 2026,Dexlite,59,,"Rp 1,392,845"
,,15 Jun 2026,Pertalite,30,,"Rp 297,900"
,,17 Jun 2026,Dexlite,36,,"Rp 854,230"
,,20 Jun 2026,Pertalite,35,,"Rp 350,000"
,,20 Jun 2026,Pertalite,35,,"Rp 350,000"
,,22 Jun 2026,Dexlite,58,,"Rp 1,370,050"
,,23 Jun 2026,Pertalite,35,,"Rp 345,000"
,,23 Jun 2026,Pertalite,34,,"Rp 342,600"
,,23 Jun 2026,Dexlite,41,,"Rp 964,675"
,,24 Jun 2026,Dexlite,51,,"Rp 1,192,390"
,,26 Jun 2026,Pertalite,17,,"Rp 165,100"
,,26 Jun 2026,Pertalite,31,,"Rp 309,200"
,,27 Jun 2026,Pertalite,32,,"Rp 324,300"
,,28 Jun 2026,,0,,Rp 0
