LC,OWNER,Delivery Date,Fuel's Type,Qty Fuel,Jalur,BBM IDR
,,04 Jan 2026,Bio Solar,59,,"Rp 403,100"
,,08 Jan 2026,Pertalite,37,,"Rp 370,000"
,,10 Jan 2026,Bio Solar,18,,"Rp 122,400"
,,14 Jan 2026,Bio Solar,42,,"Rp 291,900"
,,19 Jan 2026,Bio Solar,38,,"Rp 264,100"
,,23 Jan 2026,Pertalite,33,,"Rp 334,000"
,,26 Jan 2026,Bio Solar,11,,"Rp 74,800"
,,31 Jan 2026,Pertalite,35,,"Rp 350,000"
,,08 Feb 2026,Pertalite,34,,"Rp 340,000"
,,17 Feb 2026,Pertalite,36,,"Rp 360,000"
,,21 Feb 2026,Bio Solar,31,,"Rp 211,000"
,,26 Feb 2026,Pertalite,40,,"Rp 400,000"
,,07 Mar 2026,Dexlite,35,,"Rp 518,000"
,,07 Mar 2026,Pertalite,37,,"Rp 370,000"
,,12 Mar 2026,Pertalite,34,,"Rp 340,000"
,,17 Mar 2026,Dexlite,35,,"Rp 518,000"
,,19 Mar 2026,Pertalite,38,,"Rp 380,000"
,,29 Mar 2026,Pertalite,37,,"Rp 372,400"
,,26 Mar 2026,Pertalite,38,,"Rp 380,000"
,,29 Mar 2026,Pertalite,37,,"Rp 372,400"
,,31 Mar 2026,Bio Solar,31,,"Rp 212,257"
,,06 Apr 2026,Pertalite,37,,"Rp 370,000"
,,15 Apr 2026,Pertalite,33,,"Rp 330,000"
,,18 Apr 2026,Bio Solar,60,,"Rp 408,000"
,,24 Apr 2026,Pertalite,31,,"Rp 310,000"
,,04 May 2026,Pertalite,30,,"Rp 300,000"
,,07 May 2026,Bio Solar,40,,"Rp 272,000"
,,12 May 2026,Pertalite,23,,"Rp 230,000"
,,19 May 2026,Pertalite,25,,"Rp 250,000"
,,27 May 2026,Pertalite,21,,"Rp 210,000"
,,28 May 2026,,0,,Rp 0
,,29 May 2026,,0,,Rp 0
,,30 May 2026,,0,,Rp 0
,,31 May 2026,,0,,Rp 0
,,01 June 2026,,0,,Rp 0
,,02 June 2026,Pertalite,18,,"Rp 180,000"
,,03 June 2026,Bio Solar,40,,"Rp 272,000"
,,04 June 2026,,0,,Rp 0
,,05 June 2026,,0,,Rp 0
,,06 June 2026,,0,,Rp 0
,,07 June 2026,,0,,Rp 0
,,08 June 2026,Pertalite,16,,"Rp 160,000"
,,09 June 2026,,0,,Rp 0
,,10 June 2026,,0,,Rp 0
,,11 June 2026,,0,,Rp 0
,,12 June 2026,,0,,Rp 0
,,13 June 2026,,,,
,,14 June 2026,,,,
,,15 June 2026,,,,
,,16 June 2026,,,,
,,17 June 2026,,,,
,,18 June 2026,,,,
,,19 June 2026,,,,
,,20 June 2026,,,,
,,21 June 2026,,,,
