LC,OWNER,Delivery Date,Fuel's Type,Qty Fuel,Jalur,BBM IDR
,,01 Mar 2026,Pertalite,30.0,,"Rp 300,000"
,,02 Mar 2026,Dexlite,18.2,,"Rp 270,000"
,,03 Mar 2026,Dexlite,17.0,,"Rp 253,869"
,,05 Mar 2026,Pertalite,28.0,,"Rp 280,000"
,,06 Mar 2026,Dexlite,24.0,,"Rp 368,000"
,,10 Mar 2026,Dexlite,31.0,,"Rp 469,000"
,,11 Mar 2026,Pertalite,30.0,,"Rp 300,000"
,,13 Mar 2026,Dexlite,28.0,,"Rp 421,000"
,,16 Mar 2026,Pertalite,25.0,,"Rp 250,000"
,,18 Mar 2026,Dexlite,39.0,,"Rp 590,000"
,,20 Mar 2026,Pertalite,27.0,,"Rp 273,000"
,,20 Mar 2026,Dexlite,23.0,,"Rp 352,000"
,,20 Mar 2026,Pertalite,27.0,,"Rp 277,600"
,,31 Mar 2026,Dexlite,38.0,,"Rp 577,000"
,,04 Apr 2026,Pertalite,30.0,,"Rp 300,000"
,,04 Apr 2026,Dexlite,32.0,,"Rp 481,000"
,,07 Apr 2026,Pertalite,15.0,,"Rp 150,000"
,,10 Apr 2026,Dexlite,27.36,,"Rp 405,000"
,,14 Apr 2026,Pertalite,28.81,,"Rp 288,100"
,,19 Apr 2026,Dexlite,35.5,,"Rp 875,000"
,,22 Apr 2026,Pertalite,29.0,,"Rp 290,000"
,,26 Apr 2026,Pertalite,29.0,,"Rp 297,500"
,,30 Apr 2026,Pertalite,25.5,,"Rp 255,000"
,,07 May 2026,Pertalite,29.48,,"Rp 294,800"
,,09 May 2026,Bio Solar,29.41,,"Rp 200,000"
,,11 May 2026,Pertalite,29.51,,"Rp 295,100"
,,11 May 2026,Bio Solar,29.41,,"Rp 200,000"
,,15 May 2026,Pertalite,28.0,,"Rp 280,000"
,,20 May 2026,Pertalite,29.4,,"Rp 294,000"
,,20 May 2026,Bio Solar,29.41,,"Rp 200,000"
,,29 May 2026,Pertalite,31.4,,"Rp 314,000"
,,03 Jun 2026,Bio Solar,29.4,,"Rp 200,000"
,,05 Jun 2026,Bio Solar,29.4,,"Rp 200,000"
,,05 Jun 2026,Pertalite,26.3,,"Rp 263,000"
