LC,OWNER,Delivery Date,Fuel's Type,Qty Fuel,Jalur,BBM IDR
,,03 Jan 2026,Dexlite,29.86,,"Rp 412,000"
,,04 Jan 2026,Pertamax,39.03,,"Rp 493,755"
,,08 Jan 2026,Dexlite,34.14,,"Rp 471,130"
,,09 Jan 2026,Pertamax,27.5,,"Rp 348,000"
,,14 Jan 2026,Pertamax,36.33,,"Rp 459,570"
,,15 Jan 2026,Dexlite,36.3,,"Rp 501,000"
,,19 Jan 2026,Dexlite,26.16,,"Rp 361,000"
,,20 Jan 2026,Pertamax,38.13,,"Rp 482,345"
,,24 Jan 2026,Dexlite,31.66,,"Rp 437,000"
,,24 Jan 2026,Pertamax,31.94,,"Rp 404,000"
,,27 Jan 2026,Pertamax,30.05,,"Rp 380,000"
,,31 Jan 2026,Pertamax,29.49,,"Rp 373,000"
,,30 Jan 2026,Dexlite,44.49,,"Rp 614,000"
,,06 Feb 2026,Pertamax,34.72,,"Rp 420,000"
,,07 Feb 2026,Dexlite,34.11,,"Rp 462,190"
,,13 Feb 2026,Dexlite,40.0,,"Rp 542,000"
,,11 Feb 2026,Pertamax,38.68,,"Rp 468,000"
,,16 Feb 2026,Pertamax,33.06,,"Rp 400,000"
,,18 Feb 2026,Dexlite,35.49,,"Rp 481,000"
,,19 Feb 2026,Pertamax,28.35,,"Rp 343,000"
,,22 Feb 2026,Dexlite,31.8,,"Rp 431,000"
,,23 Feb 2026,Pertamax,26.2,,"Rp 317,000"
,,26 Feb 2026,Pertamax,30.58,,"Rp 370,000"
,,27 Feb 2026,Dexlite,29.96,,"Rp 406,000"
,,02 Mar 2026,Pertamax,24.69,,"Rp 311,000"
,,04 Mar 2026,Dexlite,36.55,,"Rp 530,000"
,,05 Mar 2026,Pertamax,23.97,,"Rp 302,000"
,,10 Mar 2026,Dexlite,31.76,,"Rp 460,000"
,,12 Mar 2026,Pertamax,23.81,,"Rp 300,000"
,,15 Mar 2026,Pertamax,28.26,,"Rp 356,000"
,,17 Mar 2026,Pertamax,22.94,,"Rp 289,000"
,,19 Mar 2026,Pertamax,24.37,,"Rp 307,000"
,,23 Mar 2026,Pertamax,21.91,,"Rp 276,000"
,,27 Mar 2026,Pertamax,20.71,,"Rp 261,000"
,,30 Mar 2026,Pertamax,16.26,,"Rp 167,000"
,,01 Apr 2026,Dexlite,39.18,,"Rp 568,110"
,,04 Apr 2026,Pertamax,15.08,,"Rp 190,000"
,,07 Apr 2026,Pertamax,19.0,,"Rp 236,000"
,,08 Apr 2026,Dexlite,33.0,,"Rp 490,000"
,,12 Apr 2026,Pertamax,18.0,,"Rp 222,000"
,,14 Apr 2026,Pertamax,12.0,,"Rp 153,000"
,,18 Apr 2026,Pertamax,20.0,,"Rp 252,000"
,,18 Apr 2026,Dexlite,39.0,,"Rp 949,000"
,,21 Apr 2026,Pertamax,17.0,,"Rp 214,000"
,,24 Apr 2026,Dexlite,29.0,,"Rp 708,000"
,,25 Apr 2026,Pertamax,23.0,,"Rp 294,500"
,,30 Apr 2026,Dexlite,30.0,,"Rp 725,000"
,,29 Apr 2026,Pertamax,19.0,,"Rp 241,000"
,,04 May 2026,Pertamax,23.0,,"Rp 288,000"
,,09 May 2026,Pertamax,24.0,,"Rp 300,000"
,,14 May 2026,Dexlite,28.0,,"Rp 758,000"
,,18 May 2026,Pertamax,28.0,,"Rp 357,000"
,,21 May 2026,Dexlite,32.0,,"Rp 851,200"
,,23 May 2026,Pertamax,28.0,,"Rp 351,000"
,,28 May 2026,Pertamax,25.0,,"Rp 313,000"
,,01 Jun 2026,Dexlite,62.0,,"Rp 1,467,110"
,,03 Jun 2026,Pertamax,19.0,,"Rp 242,000"
,,07 Jun 2026,Pertamax,24.0,,"Rp 305,000"
,,13 Jun 2026,Pertamax,28.0,,"Rp 462,000"
,,16 Jun 2026,Dexlite,47.0,,"Rp 1,112,000"
,,18 Jun 2026,Pertamax,26.0,,"Rp 429,000"
,,27 Jun 2026,Pertamax,34.0,,"Rp 597,000"
,,27 Jun 2026,Dexlite,41.0,,"Rp 955,000"
,,28 Jun 2026,,0.0,,Rp 0
